Gene stable ID	Mouse gene stable ID	Mouse homology type	Mouse C3H/HeJ gene stable ID	Mouse C3H/HeJ homology type	Mouse CAST/EiJ gene stable ID	Mouse CAST/EiJ homology type	Mouse NOD/ShiLtJ gene stable ID	Mouse NOD/ShiLtJ homology type
MGP_129S1SvImJ_G0018482	ENSMUSG00000050270	ortholog_one2one	MGP_C3HHeJ_G0018235	ortholog_one2one	MGP_CASTEiJ_G0017791	ortholog_one2one	MGP_NODShiLtJ_G0018332	ortholog_one2one
MGP_129S1SvImJ_G0031754	ENSMUSG00000023118	ortholog_one2one	MGP_C3HHeJ_G0031457	ortholog_one2one	MGP_CASTEiJ_G0030800	ortholog_one2one	MGP_NODShiLtJ_G0031562	ortholog_one2one
MGP_129S1SvImJ_G0029231	ENSMUSG00000065990	ortholog_one2one	MGP_C3HHeJ_G0028933	ortholog_one2one	MGP_CASTEiJ_G0028345	ortholog_one2one	MGP_NODShiLtJ_G0029034	ortholog_one2one
MGP_129S1SvImJ_G0024518	ENSMUSG00000047259	ortholog_one2one	MGP_C3HHeJ_G0024252	ortholog_one2one	MGP_CASTEiJ_G0023725	ortholog_one2one	MGP_NODShiLtJ_G0024347	ortholog_one2one
MGP_129S1SvImJ_G0020929	ENSMUSG00000046006	ortholog_one2one	MGP_C3HHeJ_G0020668	ortholog_one2one	MGP_CASTEiJ_G0020187	ortholog_one2one	MGP_NODShiLtJ_G0020764	ortholog_one2one
MGP_129S1SvImJ_G0025764	ENSMUSG00000026970	ortholog_one2one	MGP_C3HHeJ_G0025496	ortholog_one2one	MGP_CASTEiJ_G0024960	ortholog_one2one	MGP_NODShiLtJ_G0025600	ortholog_one2one
MGP_129S1SvImJ_G0026940	ENSMUSG00000038537	ortholog_one2one	MGP_C3HHeJ_G0026658	ortholog_one2one	MGP_CASTEiJ_G0026116	ortholog_one2one	MGP_NODShiLtJ_G0026758	ortholog_one2one
MGP_129S1SvImJ_G0027839	ENSMUSG00000028121	ortholog_one2one	MGP_C3HHeJ_G0027540	ortholog_one2one	MGP_CASTEiJ_G0026996	ortholog_one2one	MGP_NODShiLtJ_G0027654	ortholog_one2one
MGP_129S1SvImJ_G0019521	ENSMUSG00000025142	ortholog_one2one	MGP_C3HHeJ_G0019270	ortholog_one2one	MGP_CASTEiJ_G0018824	ortholog_one2one	MGP_NODShiLtJ_G0019378	ortholog_one2one
MGP_129S1SvImJ_G0033946	ENSMUSG00000057074	ortholog_one2one	MGP_C3HHeJ_G0033631	ortholog_one2one	MGP_CASTEiJ_G0032963	ortholog_one2one	MGP_NODShiLtJ_G0033750	ortholog_one2one
MGP_129S1SvImJ_G0036143	ENSMUSG00000031274	ortholog_one2one	MGP_C3HHeJ_G0035819	ortholog_one2one	MGP_CASTEiJ_G0035111	ortholog_one2one	MGP_NODShiLtJ_G0035924	ortholog_one2one
MGP_129S1SvImJ_G0021418	ENSMUSG00000053868	ortholog_one2one	MGP_C3HHeJ_G0021161	ortholog_one2one	MGP_CASTEiJ_G0020679	ortholog_one2one	MGP_NODShiLtJ_G0021258	ortholog_one2one
MGP_129S1SvImJ_G0033139	ENSMUSG00000040139	ortholog_one2one	MGP_C3HHeJ_G0032836	ortholog_one2one	MGP_CASTEiJ_G0032166	ortholog_one2one	MGP_NODShiLtJ_G0032946	ortholog_one2one
MGP_129S1SvImJ_G0029173	ENSMUSG00000028943	ortholog_one2one	MGP_C3HHeJ_G0028875	ortholog_one2one	MGP_CASTEiJ_G0028288	ortholog_one2one	MGP_NODShiLtJ_G0028977	ortholog_one2one
MGP_129S1SvImJ_G0016360	ENSMUSG00000026333	ortholog_one2one	MGP_C3HHeJ_G0016127	ortholog_one2one	MGP_CASTEiJ_G0015709	ortholog_one2one	MGP_NODShiLtJ_G0016232	ortholog_one2one
MGP_129S1SvImJ_G0015810	ENSMUSG00000033845	ortholog_one2one	MGP_C3HHeJ_G0015582	ortholog_one2one	MGP_CASTEiJ_G0015162	ortholog_one2one	MGP_NODShiLtJ_G0015678	ortholog_one2one
MGP_129S1SvImJ_G0016173	ENSMUSG00000026197	ortholog_one2one	MGP_C3HHeJ_G0015942	ortholog_one2one	MGP_CASTEiJ_G0015526	ortholog_one2one	MGP_NODShiLtJ_G0016039	ortholog_one2one
MGP_129S1SvImJ_G0023428	ENSMUSG00000024217	ortholog_one2one	MGP_C3HHeJ_G0023152	ortholog_one2one	MGP_CASTEiJ_G0022653	ortholog_one2one		
MGP_129S1SvImJ_G0022849	ENSMUSG00000022663	ortholog_one2one	MGP_C3HHeJ_G0022579	ortholog_one2one	MGP_CASTEiJ_G0022104	ortholog_one2one	MGP_NODShiLtJ_G0022676	ortholog_one2one
MGP_129S1SvImJ_G0027148	ENSMUSG00000027680	ortholog_one2one	MGP_C3HHeJ_G0026863	ortholog_one2one	MGP_CASTEiJ_G0026316	ortholog_one2one	MGP_NODShiLtJ_G0026962	ortholog_one2one
MGP_129S1SvImJ_G0023567	ENSMUSG00000073421	ortholog_one2one	MGP_C3HHeJ_G0023293	ortholog_one2one	MGP_CASTEiJ_G0022793	ortholog_one2one	MGP_NODShiLtJ_G0023389	ortholog_one2one
MGP_129S1SvImJ_G0017979	ENSMUSG00000020424	ortholog_one2one	MGP_C3HHeJ_G0017733	ortholog_one2one	MGP_CASTEiJ_G0017295	ortholog_one2one	MGP_NODShiLtJ_G0017836	ortholog_one2one
MGP_129S1SvImJ_G0021700	ENSMUSG00000054263	ortholog_one2one	MGP_C3HHeJ_G0021444	ortholog_one2one	MGP_CASTEiJ_G0020960	ortholog_one2one	MGP_NODShiLtJ_G0021540	ortholog_one2one
MGP_129S1SvImJ_G0030782	ENSMUSG00000029781	ortholog_one2one	MGP_C3HHeJ_G0030476	ortholog_one2one	MGP_CASTEiJ_G0029879	ortholog_one2one	MGP_NODShiLtJ_G0030586	ortholog_one2one
MGP_129S1SvImJ_G0020141	ENSMUSG00000021288	ortholog_one2one	MGP_C3HHeJ_G0019884	ortholog_one2one	MGP_CASTEiJ_G0019425	ortholog_one2one	MGP_NODShiLtJ_G0019991	ortholog_one2one
MGP_129S1SvImJ_G0020269	ENSMUSG00000021326	ortholog_one2one	MGP_C3HHeJ_G0020014	ortholog_one2one	MGP_CASTEiJ_G0019549	ortholog_one2one	MGP_NODShiLtJ_G0020119	ortholog_one2one
MGP_129S1SvImJ_G0017601	ENSMUSG00000020042	ortholog_one2one	MGP_C3HHeJ_G0017366	ortholog_one2one	MGP_CASTEiJ_G0016933	ortholog_one2one	MGP_NODShiLtJ_G0017464	ortholog_one2one
MGP_129S1SvImJ_G0021774	ENSMUSG00000038984	ortholog_one2one	MGP_C3HHeJ_G0021516	ortholog_one2one	MGP_CASTEiJ_G0021032	ortholog_one2one	MGP_NODShiLtJ_G0021612	ortholog_one2one
MGP_129S1SvImJ_G0023867	ENSMUSG00000071068	ortholog_one2one	MGP_C3HHeJ_G0023592	ortholog_one2one	MGP_CASTEiJ_G0023074	ortholog_one2one	MGP_NODShiLtJ_G0023691	ortholog_one2one
MGP_129S1SvImJ_G0019013	ENSMUSG00000038615	ortholog_one2one	MGP_C3HHeJ_G0018768	ortholog_one2one	MGP_CASTEiJ_G0018321	ortholog_one2one	MGP_NODShiLtJ_G0018863	ortholog_one2one
MGP_129S1SvImJ_G0028278	ENSMUSG00000063446	ortholog_one2one	MGP_C3HHeJ_G0027978	ortholog_one2one	MGP_CASTEiJ_G0027417	ortholog_one2one		
MGP_129S1SvImJ_G0025090	ENSMUSG00000054237	ortholog_one2one	MGP_C3HHeJ_G0024823	ortholog_one2one	MGP_CASTEiJ_G0024290	ortholog_one2one	MGP_NODShiLtJ_G0024924	ortholog_one2one
MGP_129S1SvImJ_G0034531	ENSMUSG00000032042	ortholog_one2one			MGP_CASTEiJ_G0033535	ortholog_one2one	MGP_NODShiLtJ_G0034330	ortholog_one2one
MGP_129S1SvImJ_G0036023	ENSMUSG00000048621	ortholog_one2one	MGP_C3HHeJ_G0035699	ortholog_one2one	MGP_CASTEiJ_G0034986	ortholog_one2one	MGP_NODShiLtJ_G0035800	ortholog_one2one
MGP_129S1SvImJ_G0024406	ENSMUSG00000071855	ortholog_one2one	MGP_C3HHeJ_G0024140	ortholog_one2one	MGP_CASTEiJ_G0023614	ortholog_one2one	MGP_NODShiLtJ_G0024236	ortholog_one2one
MGP_129S1SvImJ_G0031702	ENSMUSG00000006019	ortholog_one2one	MGP_C3HHeJ_G0031403	ortholog_one2one	MGP_CASTEiJ_G0030754	ortholog_one2one	MGP_NODShiLtJ_G0031509	ortholog_one2one
MGP_129S1SvImJ_G0020542	ENSMUSG00000037851	ortholog_one2one	MGP_C3HHeJ_G0020291	ortholog_one2one	MGP_CASTEiJ_G0019806	ortholog_one2one	MGP_NODShiLtJ_G0020382	ortholog_one2one
MGP_129S1SvImJ_G0017134	ENSMUSG00000039508	ortholog_one2one	MGP_C3HHeJ_G0016894	ortholog_one2one	MGP_CASTEiJ_G0016473	ortholog_one2one	MGP_NODShiLtJ_G0016998	ortholog_one2one
MGP_129S1SvImJ_G0016552	ENSMUSG00000033964	ortholog_one2one	MGP_C3HHeJ_G0016321	ortholog_one2one	MGP_CASTEiJ_G0015901	ortholog_one2one	MGP_NODShiLtJ_G0016424	ortholog_one2one
MGP_129S1SvImJ_G0027404	ENSMUSG00000028059	ortholog_one2one	MGP_C3HHeJ_G0027119	ortholog_one2one	MGP_CASTEiJ_G0026565	ortholog_one2one	MGP_NODShiLtJ_G0027219	ortholog_one2one
MGP_129S1SvImJ_G0024811	ENSMUSG00000071660	ortholog_one2one	MGP_C3HHeJ_G0024545	ortholog_one2one	MGP_CASTEiJ_G0024018	ortholog_one2one	MGP_NODShiLtJ_G0024640	ortholog_one2one
MGP_129S1SvImJ_G0023000	ENSMUSG00000043982	ortholog_one2one	MGP_C3HHeJ_G0022731	ortholog_one2one	MGP_CASTEiJ_G0022252	ortholog_one2one	MGP_NODShiLtJ_G0022829	ortholog_one2one
MGP_129S1SvImJ_G0024740	ENSMUSG00000050299	ortholog_one2one	MGP_C3HHeJ_G0024474	ortholog_one2one	MGP_CASTEiJ_G0023946	ortholog_one2one	MGP_NODShiLtJ_G0022785	ortholog_one2one
MGP_129S1SvImJ_G0033764	ENSMUSG00000056019	ortholog_one2one			MGP_CASTEiJ_G0032778	ortholog_one2one	MGP_NODShiLtJ_G0033574	ortholog_one2one
MGP_129S1SvImJ_G0021154	ENSMUSG00000041673	ortholog_one2one	MGP_C3HHeJ_G0020889	ortholog_one2one	MGP_CASTEiJ_G0020414	ortholog_one2one	MGP_NODShiLtJ_G0020988	ortholog_one2one
MGP_129S1SvImJ_G0027139	ENSMUSG00000027668	ortholog_one2one	MGP_C3HHeJ_G0026854	ortholog_one2one	MGP_CASTEiJ_G0026307	ortholog_one2one	MGP_NODShiLtJ_G0026953	ortholog_one2one
MGP_129S1SvImJ_G0017514	ENSMUSG00000003348	ortholog_one2one	MGP_C3HHeJ_G0017277	ortholog_one2one	MGP_CASTEiJ_G0016844	ortholog_one2one	MGP_NODShiLtJ_G0017375	ortholog_one2one
MGP_129S1SvImJ_G0023750	ENSMUSG00000094024	ortholog_one2one						
MGP_129S1SvImJ_G0029222	ENSMUSG00000074738	ortholog_one2one	MGP_C3HHeJ_G0028924	ortholog_one2one	MGP_CASTEiJ_G0028336	ortholog_one2one	MGP_NODShiLtJ_G0029025	ortholog_one2one
MGP_129S1SvImJ_G0021198	ENSMUSG00000037780	ortholog_one2one	MGP_C3HHeJ_G0020933	ortholog_one2one	MGP_CASTEiJ_G0020458	ortholog_one2one	MGP_NODShiLtJ_G0021032	ortholog_one2one
MGP_129S1SvImJ_G0020207	ENSMUSG00000021210	ortholog_one2one	MGP_C3HHeJ_G0019950	ortholog_one2one			MGP_NODShiLtJ_G0020055	ortholog_one2one
MGP_129S1SvImJ_G0021289	ENSMUSG00000044286	ortholog_one2one	MGP_C3HHeJ_G0021030	ortholog_one2one	MGP_CASTEiJ_G0020549	ortholog_one2one	MGP_NODShiLtJ_G0021124	ortholog_one2one
MGP_129S1SvImJ_G0033825	ENSMUSG00000047747	ortholog_one2one	MGP_C3HHeJ_G0033510	ortholog_one2one	MGP_CASTEiJ_G0032841	ortholog_one2one	MGP_NODShiLtJ_G0033630	ortholog_one2one
MGP_129S1SvImJ_G0024763	ENSMUSG00000032946	ortholog_one2one	MGP_C3HHeJ_G0024497	ortholog_one2one	MGP_CASTEiJ_G0023969	ortholog_one2one	MGP_NODShiLtJ_G0024591	ortholog_one2one
MGP_129S1SvImJ_G0030080	ENSMUSG00000045502	ortholog_one2one	MGP_C3HHeJ_G0029773	ortholog_one2one	MGP_CASTEiJ_G0029182	ortholog_one2one	MGP_NODShiLtJ_G0029880	ortholog_one2one
MGP_129S1SvImJ_G0020475	ENSMUSG00000001707	ortholog_one2one	MGP_C3HHeJ_G0020224	ortholog_one2one	MGP_CASTEiJ_G0019739	ortholog_one2one		
MGP_129S1SvImJ_G0023150	ENSMUSG00000068037	ortholog_one2one	MGP_C3HHeJ_G0022881	ortholog_one2one	MGP_CASTEiJ_G0022395	ortholog_one2one	MGP_NODShiLtJ_G0022975	ortholog_one2one
MGP_129S1SvImJ_G0034999	ENSMUSG00000032218	ortholog_one2one	MGP_C3HHeJ_G0034681	ortholog_one2one	MGP_CASTEiJ_G0034003	ortholog_one2one	MGP_NODShiLtJ_G0034796	ortholog_one2one
MGP_129S1SvImJ_G0022050	ENSMUSG00000043460	ortholog_one2one	MGP_C3HHeJ_G0021788	ortholog_one2one	MGP_CASTEiJ_G0021309	ortholog_one2one	MGP_NODShiLtJ_G0021880	ortholog_one2one
MGP_129S1SvImJ_G0021310	ENSMUSG00000022175	ortholog_one2one	MGP_C3HHeJ_G0021053	ortholog_one2one	MGP_CASTEiJ_G0020572	ortholog_one2one	MGP_NODShiLtJ_G0021147	ortholog_one2one
MGP_129S1SvImJ_G0019094	ENSMUSG00000006777	ortholog_one2one	MGP_C3HHeJ_G0018849	ortholog_one2one	MGP_CASTEiJ_G0018404	ortholog_one2one	MGP_NODShiLtJ_G0018944	ortholog_one2one
MGP_129S1SvImJ_G0025240	ENSMUSG00000043531	ortholog_one2one	MGP_C3HHeJ_G0024971	ortholog_one2one	MGP_CASTEiJ_G0024435	ortholog_one2one	MGP_NODShiLtJ_G0025075	ortholog_one2one
MGP_129S1SvImJ_G0023923	ENSMUSG00000073380	ortholog_one2one	MGP_C3HHeJ_G0023646	ortholog_one2one	MGP_CASTEiJ_G0023128	ortholog_one2one	MGP_NODShiLtJ_G0023744	ortholog_one2one
MGP_129S1SvImJ_G0025863	ENSMUSG00000056436	ortholog_one2one	MGP_C3HHeJ_G0025595	ortholog_one2one	MGP_CASTEiJ_G0025057	ortholog_one2one	MGP_NODShiLtJ_G0025700	ortholog_one2one
MGP_129S1SvImJ_G0025318	ENSMUSG00000026668	ortholog_one2one	MGP_C3HHeJ_G0025051	ortholog_one2one	MGP_CASTEiJ_G0024514	ortholog_one2one	MGP_NODShiLtJ_G0025156	ortholog_one2one
MGP_129S1SvImJ_G0026730	ENSMUSG00000047459	ortholog_one2one	MGP_C3HHeJ_G0026448	ortholog_one2one	MGP_CASTEiJ_G0025909	ortholog_one2one	MGP_NODShiLtJ_G0026550	ortholog_one2one
MGP_129S1SvImJ_G0026932	ENSMUSG00000047907	ortholog_one2one	MGP_C3HHeJ_G0026650	ortholog_one2one	MGP_CASTEiJ_G0026108	ortholog_one2one	MGP_NODShiLtJ_G0026750	ortholog_one2one
MGP_129S1SvImJ_G0032485	ENSMUSG00000001773	ortholog_one2one	MGP_C3HHeJ_G0032185	ortholog_one2one	MGP_CASTEiJ_G0031512	ortholog_one2one	MGP_NODShiLtJ_G0032294	ortholog_one2one
MGP_129S1SvImJ_G0027286	ENSMUSG00000027777	ortholog_one2one	MGP_C3HHeJ_G0027003	ortholog_one2one	MGP_CASTEiJ_G0026450	ortholog_one2one	MGP_NODShiLtJ_G0027101	ortholog_one2one
MGP_129S1SvImJ_G0017916	ENSMUSG00000044293	ortholog_one2one	MGP_C3HHeJ_G0017676	ortholog_one2one	MGP_CASTEiJ_G0017239	ortholog_one2one	MGP_NODShiLtJ_G0017780	ortholog_one2one
MGP_129S1SvImJ_G0032784	ENSMUSG00000036647	ortholog_one2one	MGP_C3HHeJ_G0032480	ortholog_one2one	MGP_CASTEiJ_G0031811	ortholog_one2one	MGP_NODShiLtJ_G0032592	ortholog_one2one
MGP_129S1SvImJ_G0028770	ENSMUSG00000050188	ortholog_one2one	MGP_C3HHeJ_G0028466	ortholog_one2one	MGP_CASTEiJ_G0027899	ortholog_one2one	MGP_NODShiLtJ_G0028574	ortholog_one2one
MGP_129S1SvImJ_G0023442	ENSMUSG00000024223	ortholog_one2one	MGP_C3HHeJ_G0023166	ortholog_one2one	MGP_CASTEiJ_G0022667	ortholog_one2one	MGP_NODShiLtJ_G0023259	ortholog_one2one
MGP_129S1SvImJ_G0018758	ENSMUSG00000000632	ortholog_one2one	MGP_C3HHeJ_G0018511	ortholog_one2one	MGP_CASTEiJ_G0018065	ortholog_one2one	MGP_NODShiLtJ_G0018606	ortholog_one2one
MGP_129S1SvImJ_G0035186	ENSMUSG00000035606	ortholog_one2one	MGP_C3HHeJ_G0034869	ortholog_one2one	MGP_CASTEiJ_G0034181	ortholog_one2one	MGP_NODShiLtJ_G0034986	ortholog_one2one
MGP_129S1SvImJ_G0018148	ENSMUSG00000020155	ortholog_one2one	MGP_C3HHeJ_G0017903	ortholog_one2one	MGP_CASTEiJ_G0017467	ortholog_one2one	MGP_NODShiLtJ_G0018004	ortholog_one2one
MGP_129S1SvImJ_G0016974	ENSMUSG00000040624	ortholog_one2one	MGP_C3HHeJ_G0016735	ortholog_one2one	MGP_CASTEiJ_G0016317	ortholog_one2one	MGP_NODShiLtJ_G0016841	ortholog_one2one
MGP_129S1SvImJ_G0025041	ENSMUSG00000024899	ortholog_one2one	MGP_C3HHeJ_G0024773	ortholog_one2one	MGP_CASTEiJ_G0024244	ortholog_one2one	MGP_NODShiLtJ_G0024872	ortholog_one2one
MGP_129S1SvImJ_G0026791	ENSMUSG00000052922	ortholog_one2one	MGP_C3HHeJ_G0026508	ortholog_one2one	MGP_CASTEiJ_G0025970	ortholog_one2one	MGP_NODShiLtJ_G0026611	ortholog_one2one
MGP_129S1SvImJ_G0033405	ENSMUSG00000031467	ortholog_one2one	MGP_C3HHeJ_G0033099	ortholog_one2one	MGP_CASTEiJ_G0032421	ortholog_one2one	MGP_NODShiLtJ_G0033211	ortholog_one2one
MGP_129S1SvImJ_G0031979	ENSMUSG00000030587	ortholog_one2one	MGP_C3HHeJ_G0031683	ortholog_one2one	MGP_CASTEiJ_G0031017	ortholog_one2one	MGP_NODShiLtJ_G0031793	ortholog_one2one
MGP_129S1SvImJ_G0019899	ENSMUSG00000021139	ortholog_one2one	MGP_C3HHeJ_G0019642	ortholog_one2one	MGP_CASTEiJ_G0019192	ortholog_one2one	MGP_NODShiLtJ_G0019753	ortholog_one2one
MGP_129S1SvImJ_G0023990	ENSMUSG00000033278	ortholog_one2one	MGP_C3HHeJ_G0023713	ortholog_one2one	MGP_CASTEiJ_G0023195	ortholog_one2one	MGP_NODShiLtJ_G0023811	ortholog_one2one
MGP_129S1SvImJ_G0028780	ENSMUSG00000028842	ortholog_one2one	MGP_C3HHeJ_G0028476	ortholog_one2one	MGP_CASTEiJ_G0027909	ortholog_one2one	MGP_NODShiLtJ_G0028584	ortholog_one2one
MGP_129S1SvImJ_G0017817	ENSMUSG00000040354	ortholog_one2one	MGP_C3HHeJ_G0017580	ortholog_one2one	MGP_CASTEiJ_G0017140	ortholog_one2one	MGP_NODShiLtJ_G0017678	ortholog_one2one
MGP_129S1SvImJ_G0033135	ENSMUSG00000041836	ortholog_one2one	MGP_C3HHeJ_G0032832	ortholog_one2one	MGP_CASTEiJ_G0032162	ortholog_one2one	MGP_NODShiLtJ_G0032942	ortholog_one2one
MGP_129S1SvImJ_G0019232	ENSMUSG00000006574	ortholog_one2one	MGP_C3HHeJ_G0018983	ortholog_one2one	MGP_CASTEiJ_G0018537	ortholog_one2one	MGP_NODShiLtJ_G0019085	ortholog_one2one
MGP_129S1SvImJ_G0023785	ENSMUSG00000038954	ortholog_one2one	MGP_C3HHeJ_G0023511	ortholog_one2one	MGP_CASTEiJ_G0022992	ortholog_one2one	MGP_NODShiLtJ_G0023609	ortholog_one2one
MGP_129S1SvImJ_G0034942	ENSMUSG00000036466	ortholog_one2one	MGP_C3HHeJ_G0034625	ortholog_one2one	MGP_CASTEiJ_G0033946	ortholog_one2one	MGP_NODShiLtJ_G0034739	ortholog_one2one
MGP_129S1SvImJ_G0018935	ENSMUSG00000020553	ortholog_one2one	MGP_C3HHeJ_G0018690	ortholog_one2one	MGP_CASTEiJ_G0018245	ortholog_one2one	MGP_NODShiLtJ_G0018785	ortholog_one2one
MGP_129S1SvImJ_G0024815	ENSMUSG00000071656	ortholog_one2one	MGP_C3HHeJ_G0024549	ortholog_one2one	MGP_CASTEiJ_G0024022	ortholog_one2one	MGP_NODShiLtJ_G0024644	ortholog_one2one
MGP_129S1SvImJ_G0016084	ENSMUSG00000040865	ortholog_one2one	MGP_C3HHeJ_G0015854	ortholog_one2one	MGP_CASTEiJ_G0015437	ortholog_one2one	MGP_NODShiLtJ_G0015950	ortholog_one2one
MGP_129S1SvImJ_G0019960	ENSMUSG00000021248	ortholog_one2one	MGP_C3HHeJ_G0019703	ortholog_one2one	MGP_CASTEiJ_G0019252	ortholog_one2one		
MGP_129S1SvImJ_G0022180	ENSMUSG00000036106	ortholog_one2one	MGP_C3HHeJ_G0021915	ortholog_one2one	MGP_CASTEiJ_G0021437	ortholog_one2one	MGP_NODShiLtJ_G0022008	ortholog_one2one
MGP_129S1SvImJ_G0018488	ENSMUSG00000057003	ortholog_one2one			MGP_CASTEiJ_G0017797	ortholog_one2one		
MGP_129S1SvImJ_G0031831	ENSMUSG00000064264	ortholog_one2one	MGP_C3HHeJ_G0031536	ortholog_one2one	MGP_CASTEiJ_G0030877	ortholog_one2one	MGP_NODShiLtJ_G0031645	ortholog_one2one
MGP_129S1SvImJ_G0034284	ENSMUSG00000056820	ortholog_one2one						
MGP_129S1SvImJ_G0033938	ENSMUSG00000078144	ortholog_one2one	MGP_C3HHeJ_G0033623	ortholog_one2one	MGP_CASTEiJ_G0032955	ortholog_one2one	MGP_NODShiLtJ_G0033742	ortholog_one2one
MGP_129S1SvImJ_G0027574	ENSMUSG00000038766	ortholog_one2one	MGP_C3HHeJ_G0027278	ortholog_one2one	MGP_CASTEiJ_G0026728	ortholog_one2one	MGP_NODShiLtJ_G0027392	ortholog_one2one
