cast_gene,129_gene,nod_gene,c3h_gene,mouse_gene
MGP_CASTEiJ_G0031460,MGP_129S1SvImJ_G0032428,MGP_NODShiLtJ_G0032245,MGP_C3HHeJ_G0032132,ENSMUSG00000025586
MGP_CASTEiJ_G0036039,MGP_129S1SvImJ_G0037193,MGP_NODShiLtJ_G0036964,MGP_C3HHeJ_G0036853,ENSMUSG00000065787
MGP_CASTEiJ_G0030779,MGP_129S1SvImJ_G0031727,MGP_NODShiLtJ_G0031534,MGP_C3HHeJ_G0031428,ENSMUSG00000003099
MGP_CASTEiJ_G0017791,MGP_129S1SvImJ_G0018482,MGP_NODShiLtJ_G0018332,MGP_C3HHeJ_G0018235,ENSMUSG00000050270
MGP_CASTEiJ_G0030800,MGP_129S1SvImJ_G0031754,MGP_NODShiLtJ_G0031562,MGP_C3HHeJ_G0031457,ENSMUSG00000023118
MGP_CASTEiJ_G0028345,MGP_129S1SvImJ_G0029231,MGP_NODShiLtJ_G0029034,MGP_C3HHeJ_G0028933,ENSMUSG00000065990
MGP_CASTEiJ_G0006149,MGP_129S1SvImJ_G0006297,MGP_NODShiLtJ_G0006233,MGP_C3HHeJ_G0006216,ENSMUSG00000106503
MGP_CASTEiJ_G0023725,MGP_129S1SvImJ_G0024518,MGP_NODShiLtJ_G0024347,MGP_C3HHeJ_G0024252,ENSMUSG00000047259
MGP_CASTEiJ_G0038228,MGP_129S1SvImJ_G0039458,MGP_NODShiLtJ_G0039214,MGP_C3HHeJ_G0039096,ENSMUSG00000077153
MGP_CASTEiJ_G0035975,MGP_129S1SvImJ_G0037123,MGP_NODShiLtJ_G0036895,MGP_C3HHeJ_G0036786,ENSMUSG00000064842
MGP_CASTEiJ_G0008630,MGP_129S1SvImJ_G0008875,MGP_NODShiLtJ_G0008769,MGP_C3HHeJ_G0008788,ENSMUSG00000098687
MGP_CASTEiJ_G0020187,MGP_129S1SvImJ_G0020929,MGP_NODShiLtJ_G0020764,MGP_C3HHeJ_G0020668,ENSMUSG00000046006
MGP_CASTEiJ_G0024960,MGP_129S1SvImJ_G0025764,MGP_NODShiLtJ_G0025600,MGP_C3HHeJ_G0025496,ENSMUSG00000026970
MGP_CASTEiJ_G0026116,MGP_129S1SvImJ_G0026940,MGP_NODShiLtJ_G0026758,MGP_C3HHeJ_G0026658,ENSMUSG00000038537
MGP_CASTEiJ_G0026996,MGP_129S1SvImJ_G0027839,MGP_NODShiLtJ_G0027654,MGP_C3HHeJ_G0027540,ENSMUSG00000028121
MGP_CASTEiJ_G0018824,MGP_129S1SvImJ_G0019521,MGP_NODShiLtJ_G0019378,MGP_C3HHeJ_G0019270,ENSMUSG00000025142
MGP_CASTEiJ_G0032963,MGP_129S1SvImJ_G0033946,MGP_NODShiLtJ_G0033750,MGP_C3HHeJ_G0033631,ENSMUSG00000057074
MGP_CASTEiJ_G0036407,MGP_129S1SvImJ_G0037583,MGP_NODShiLtJ_G0037346,MGP_C3HHeJ_G0037241,ENSMUSG00000095033
MGP_CASTEiJ_G0008306,MGP_129S1SvImJ_G0008531,MGP_NODShiLtJ_G0008430,MGP_C3HHeJ_G0008447,ENSMUSG00000092765
MGP_CASTEiJ_G0037600,MGP_129S1SvImJ_G0038818,MGP_NODShiLtJ_G0038571,MGP_C3HHeJ_G0038458,ENSMUSG00000077502
MGP_CASTEiJ_G0035111,MGP_129S1SvImJ_G0036143,MGP_NODShiLtJ_G0035924,MGP_C3HHeJ_G0035819,ENSMUSG00000031274
MGP_CASTEiJ_G0007383,MGP_129S1SvImJ_G0007561,MGP_NODShiLtJ_G0007482,MGP_C3HHeJ_G0007481,ENSMUSG00000100780
MGP_CASTEiJ_G0035414,MGP_129S1SvImJ_G0036558,MGP_NODShiLtJ_G0036328,MGP_C3HHeJ_G0036228,ENSMUSG00000084660
MGP_CASTEiJ_G0020679,MGP_129S1SvImJ_G0021418,MGP_NODShiLtJ_G0021258,MGP_C3HHeJ_G0021161,ENSMUSG00000053868
MGP_CASTEiJ_G0032166,MGP_129S1SvImJ_G0033139,MGP_NODShiLtJ_G0032946,MGP_C3HHeJ_G0032836,ENSMUSG00000040139
MGP_CASTEiJ_G0028288,MGP_129S1SvImJ_G0029173,MGP_NODShiLtJ_G0028977,MGP_C3HHeJ_G0028875,ENSMUSG00000028943
MGP_CASTEiJ_G0015709,MGP_129S1SvImJ_G0016360,MGP_NODShiLtJ_G0016232,MGP_C3HHeJ_G0016127,ENSMUSG00000026333
MGP_CASTEiJ_G0015162,MGP_129S1SvImJ_G0015810,MGP_NODShiLtJ_G0015678,MGP_C3HHeJ_G0015582,ENSMUSG00000033845
MGP_CASTEiJ_G0015526,MGP_129S1SvImJ_G0016173,MGP_NODShiLtJ_G0016039,MGP_C3HHeJ_G0015942,ENSMUSG00000026197
MGP_CASTEiJ_G0022104,MGP_129S1SvImJ_G0022849,MGP_NODShiLtJ_G0022676,MGP_C3HHeJ_G0022579,ENSMUSG00000022663
MGP_CASTEiJ_G0026316,MGP_129S1SvImJ_G0027148,MGP_NODShiLtJ_G0026962,MGP_C3HHeJ_G0026863,ENSMUSG00000027680
MGP_CASTEiJ_G0008755,MGP_129S1SvImJ_G0009012,MGP_NODShiLtJ_G0008902,MGP_C3HHeJ_G0008919,ENSMUSG00000099203
MGP_CASTEiJ_G0022793,MGP_129S1SvImJ_G0023567,MGP_NODShiLtJ_G0023389,MGP_C3HHeJ_G0023293,ENSMUSG00000073421
MGP_CASTEiJ_G0017295,MGP_129S1SvImJ_G0017979,MGP_NODShiLtJ_G0017836,MGP_C3HHeJ_G0017733,ENSMUSG00000020424
MGP_CASTEiJ_G0036059,MGP_129S1SvImJ_G0037214,MGP_NODShiLtJ_G0036987,MGP_C3HHeJ_G0036875,ENSMUSG00000089057
MGP_CASTEiJ_G0035369,MGP_129S1SvImJ_G0036512,MGP_NODShiLtJ_G0036283,MGP_C3HHeJ_G0036181,ENSMUSG00000077516
MGP_CASTEiJ_G0020960,MGP_129S1SvImJ_G0021700,MGP_NODShiLtJ_G0021540,MGP_C3HHeJ_G0021444,ENSMUSG00000054263
MGP_CASTEiJ_G0029879,MGP_129S1SvImJ_G0030782,MGP_NODShiLtJ_G0030586,MGP_C3HHeJ_G0030476,ENSMUSG00000029781
MGP_CASTEiJ_G0019425,MGP_129S1SvImJ_G0020141,MGP_NODShiLtJ_G0019991,MGP_C3HHeJ_G0019884,ENSMUSG00000021288
MGP_CASTEiJ_G0007444,MGP_129S1SvImJ_G0007627,MGP_NODShiLtJ_G0007542,MGP_C3HHeJ_G0007545,ENSMUSG00000098504
MGP_CASTEiJ_G0019549,MGP_129S1SvImJ_G0020269,MGP_NODShiLtJ_G0020119,MGP_C3HHeJ_G0020014,ENSMUSG00000021326
MGP_CASTEiJ_G0016933,MGP_129S1SvImJ_G0017601,MGP_NODShiLtJ_G0017464,MGP_C3HHeJ_G0017366,ENSMUSG00000020042
MGP_CASTEiJ_G0036961,MGP_129S1SvImJ_G0038164,MGP_NODShiLtJ_G0037922,MGP_C3HHeJ_G0037812,ENSMUSG00000064575
MGP_CASTEiJ_G0007402,MGP_129S1SvImJ_G0007581,MGP_NODShiLtJ_G0007501,MGP_C3HHeJ_G0007501,ENSMUSG00000087587
MGP_CASTEiJ_G0021032,MGP_129S1SvImJ_G0021774,MGP_NODShiLtJ_G0021612,MGP_C3HHeJ_G0021516,ENSMUSG00000038984
MGP_CASTEiJ_G0023074,MGP_129S1SvImJ_G0023867,MGP_NODShiLtJ_G0023691,MGP_C3HHeJ_G0023592,ENSMUSG00000071068
MGP_CASTEiJ_G0008042,MGP_129S1SvImJ_G0008255,MGP_NODShiLtJ_G0008161,MGP_C3HHeJ_G0008171,ENSMUSG00000092957
MGP_CASTEiJ_G0018321,MGP_129S1SvImJ_G0019013,MGP_NODShiLtJ_G0018863,MGP_C3HHeJ_G0018768,ENSMUSG00000038615
MGP_CASTEiJ_G0007773,MGP_129S1SvImJ_G0007966,MGP_NODShiLtJ_G0007880,MGP_C3HHeJ_G0007885,ENSMUSG00000094952
MGP_CASTEiJ_G0024290,MGP_129S1SvImJ_G0025090,MGP_NODShiLtJ_G0024924,MGP_C3HHeJ_G0024823,ENSMUSG00000054237
MGP_CASTEiJ_G0034986,MGP_129S1SvImJ_G0036023,MGP_NODShiLtJ_G0035800,MGP_C3HHeJ_G0035699,ENSMUSG00000048621
MGP_CASTEiJ_G0023614,MGP_129S1SvImJ_G0024406,MGP_NODShiLtJ_G0024236,MGP_C3HHeJ_G0024140,ENSMUSG00000071855
MGP_CASTEiJ_G0005120,MGP_129S1SvImJ_G0005259,MGP_NODShiLtJ_G0005188,MGP_C3HHeJ_G0005173,ENSMUSG00000097051
MGP_CASTEiJ_G0030754,MGP_129S1SvImJ_G0031702,MGP_NODShiLtJ_G0031509,MGP_C3HHeJ_G0031403,ENSMUSG00000006019
MGP_CASTEiJ_G0019806,MGP_129S1SvImJ_G0020542,MGP_NODShiLtJ_G0020382,MGP_C3HHeJ_G0020291,ENSMUSG00000037851
MGP_CASTEiJ_G0004901,MGP_129S1SvImJ_G0005041,MGP_NODShiLtJ_G0004968,MGP_C3HHeJ_G0004953,ENSMUSG00000103079
MGP_CASTEiJ_G0016473,MGP_129S1SvImJ_G0017134,MGP_NODShiLtJ_G0016998,MGP_C3HHeJ_G0016894,ENSMUSG00000039508
MGP_CASTEiJ_G0015901,MGP_129S1SvImJ_G0016552,MGP_NODShiLtJ_G0016424,MGP_C3HHeJ_G0016321,ENSMUSG00000033964
MGP_CASTEiJ_G0026565,MGP_129S1SvImJ_G0027404,MGP_NODShiLtJ_G0027219,MGP_C3HHeJ_G0027119,ENSMUSG00000028059
MGP_CASTEiJ_G0035503,MGP_129S1SvImJ_G0036647,MGP_NODShiLtJ_G0036418,MGP_C3HHeJ_G0036316,ENSMUSG00000077382
MGP_CASTEiJ_G0024018,MGP_129S1SvImJ_G0024811,MGP_NODShiLtJ_G0024640,MGP_C3HHeJ_G0024545,ENSMUSG00000071660
MGP_CASTEiJ_G0022252,MGP_129S1SvImJ_G0023000,MGP_NODShiLtJ_G0022829,MGP_C3HHeJ_G0022731,ENSMUSG00000043982
MGP_CASTEiJ_G0023946,MGP_129S1SvImJ_G0024740,MGP_NODShiLtJ_G0022785,MGP_C3HHeJ_G0024474,ENSMUSG00000050299
MGP_CASTEiJ_G0020414,MGP_129S1SvImJ_G0021154,MGP_NODShiLtJ_G0020988,MGP_C3HHeJ_G0020889,ENSMUSG00000041673
MGP_CASTEiJ_G0026307,MGP_129S1SvImJ_G0027139,MGP_NODShiLtJ_G0026953,MGP_C3HHeJ_G0026854,ENSMUSG00000027668
MGP_CASTEiJ_G0016844,MGP_129S1SvImJ_G0017514,MGP_NODShiLtJ_G0017375,MGP_C3HHeJ_G0017277,ENSMUSG00000003348
MGP_CASTEiJ_G0002506,MGP_129S1SvImJ_G0002597,MGP_NODShiLtJ_G0002527,MGP_C3HHeJ_G0002521,ENSMUSG00000076499
MGP_CASTEiJ_G0028336,MGP_129S1SvImJ_G0029222,MGP_NODShiLtJ_G0029025,MGP_C3HHeJ_G0028924,ENSMUSG00000074738
MGP_CASTEiJ_G0020458,MGP_129S1SvImJ_G0021198,MGP_NODShiLtJ_G0021032,MGP_C3HHeJ_G0020933,ENSMUSG00000037780
MGP_CASTEiJ_G0020549,MGP_129S1SvImJ_G0021289,MGP_NODShiLtJ_G0021124,MGP_C3HHeJ_G0021030,ENSMUSG00000044286
MGP_CASTEiJ_G0032841,MGP_129S1SvImJ_G0033825,MGP_NODShiLtJ_G0033630,MGP_C3HHeJ_G0033510,ENSMUSG00000047747
MGP_CASTEiJ_G0023969,MGP_129S1SvImJ_G0024763,MGP_NODShiLtJ_G0024591,MGP_C3HHeJ_G0024497,ENSMUSG00000032946
MGP_CASTEiJ_G0029182,MGP_129S1SvImJ_G0030080,MGP_NODShiLtJ_G0029880,MGP_C3HHeJ_G0029773,ENSMUSG00000045502
MGP_CASTEiJ_G0036384,MGP_129S1SvImJ_G0037554,MGP_NODShiLtJ_G0037322,MGP_C3HHeJ_G0037213,ENSMUSG00000089168
MGP_CASTEiJ_G0007077,MGP_129S1SvImJ_G0007256,MGP_NODShiLtJ_G0007178,MGP_C3HHeJ_G0007175,ENSMUSG00000108736
MGP_CASTEiJ_G0006967,MGP_129S1SvImJ_G0007145,MGP_NODShiLtJ_G0007068,MGP_C3HHeJ_G0007063,ENSMUSG00000108739
MGP_CASTEiJ_G0036618,MGP_129S1SvImJ_G0037812,MGP_NODShiLtJ_G0037574,MGP_C3HHeJ_G0037456,ENSMUSG00000064522
MGP_CASTEiJ_G0022395,MGP_129S1SvImJ_G0023150,MGP_NODShiLtJ_G0022975,MGP_C3HHeJ_G0022881,ENSMUSG00000068037
MGP_CASTEiJ_G0009035,MGP_129S1SvImJ_G0009304,MGP_NODShiLtJ_G0009189,MGP_C3HHeJ_G0009209,ENSMUSG00000078038
MGP_CASTEiJ_G0034003,MGP_129S1SvImJ_G0034999,MGP_NODShiLtJ_G0034796,MGP_C3HHeJ_G0034681,ENSMUSG00000032218
MGP_CASTEiJ_G0021309,MGP_129S1SvImJ_G0022050,MGP_NODShiLtJ_G0021880,MGP_C3HHeJ_G0021788,ENSMUSG00000043460
MGP_CASTEiJ_G0020572,MGP_129S1SvImJ_G0021310,MGP_NODShiLtJ_G0021147,MGP_C3HHeJ_G0021053,ENSMUSG00000022175
MGP_CASTEiJ_G0018404,MGP_129S1SvImJ_G0019094,MGP_NODShiLtJ_G0018944,MGP_C3HHeJ_G0018849,ENSMUSG00000006777
MGP_CASTEiJ_G0024435,MGP_129S1SvImJ_G0025240,MGP_NODShiLtJ_G0025075,MGP_C3HHeJ_G0024971,ENSMUSG00000043531
MGP_CASTEiJ_G0023128,MGP_129S1SvImJ_G0023923,MGP_NODShiLtJ_G0023744,MGP_C3HHeJ_G0023646,ENSMUSG00000073380
MGP_CASTEiJ_G0025057,MGP_129S1SvImJ_G0025863,MGP_NODShiLtJ_G0025700,MGP_C3HHeJ_G0025595,ENSMUSG00000056436
MGP_CASTEiJ_G0037458,MGP_129S1SvImJ_G0038678,MGP_NODShiLtJ_G0038429,MGP_C3HHeJ_G0038317,ENSMUSG00000064720
MGP_CASTEiJ_G0024514,MGP_129S1SvImJ_G0025318,MGP_NODShiLtJ_G0025156,MGP_C3HHeJ_G0025051,ENSMUSG00000026668
MGP_CASTEiJ_G0025909,MGP_129S1SvImJ_G0026730,MGP_NODShiLtJ_G0026550,MGP_C3HHeJ_G0026448,ENSMUSG00000047459
MGP_CASTEiJ_G0026108,MGP_129S1SvImJ_G0026932,MGP_NODShiLtJ_G0026750,MGP_C3HHeJ_G0026650,ENSMUSG00000047907
MGP_CASTEiJ_G0031512,MGP_129S1SvImJ_G0032485,MGP_NODShiLtJ_G0032294,MGP_C3HHeJ_G0032185,ENSMUSG00000001773
MGP_CASTEiJ_G0008656,MGP_129S1SvImJ_G0008901,MGP_NODShiLtJ_G0008795,MGP_C3HHeJ_G0008813,ENSMUSG00000099221
MGP_CASTEiJ_G0026450,MGP_129S1SvImJ_G0027286,MGP_NODShiLtJ_G0027101,MGP_C3HHeJ_G0027003,ENSMUSG00000027777
MGP_CASTEiJ_G0017239,MGP_129S1SvImJ_G0017916,MGP_NODShiLtJ_G0017780,MGP_C3HHeJ_G0017676,ENSMUSG00000044293
MGP_CASTEiJ_G0031811,MGP_129S1SvImJ_G0032784,MGP_NODShiLtJ_G0032592,MGP_C3HHeJ_G0032480,ENSMUSG00000036647
MGP_CASTEiJ_G0027899,MGP_129S1SvImJ_G0028770,MGP_NODShiLtJ_G0028574,MGP_C3HHeJ_G0028466,ENSMUSG00000050188
MGP_CASTEiJ_G0022667,MGP_129S1SvImJ_G0023442,MGP_NODShiLtJ_G0023259,MGP_C3HHeJ_G0023166,ENSMUSG00000024223
MGP_CASTEiJ_G0018065,MGP_129S1SvImJ_G0018758,MGP_NODShiLtJ_G0018606,MGP_C3HHeJ_G0018511,ENSMUSG00000000632
MGP_CASTEiJ_G0034181,MGP_129S1SvImJ_G0035186,MGP_NODShiLtJ_G0034986,MGP_C3HHeJ_G0034869,ENSMUSG00000035606
MGP_CASTEiJ_G0017467,MGP_129S1SvImJ_G0018148,MGP_NODShiLtJ_G0018004,MGP_C3HHeJ_G0017903,ENSMUSG00000020155
MGP_CASTEiJ_G0006874,MGP_129S1SvImJ_G0007047,MGP_NODShiLtJ_G0006969,MGP_C3HHeJ_G0006905,ENSMUSG00000108038
MGP_CASTEiJ_G0016317,MGP_129S1SvImJ_G0016974,MGP_NODShiLtJ_G0016841,MGP_C3HHeJ_G0016735,ENSMUSG00000040624
MGP_CASTEiJ_G0024244,MGP_129S1SvImJ_G0025041,MGP_NODShiLtJ_G0024872,MGP_C3HHeJ_G0024773,ENSMUSG00000024899
MGP_CASTEiJ_G0025970,MGP_129S1SvImJ_G0026791,MGP_NODShiLtJ_G0026611,MGP_C3HHeJ_G0026508,ENSMUSG00000052922
MGP_CASTEiJ_G0032421,MGP_129S1SvImJ_G0033405,MGP_NODShiLtJ_G0033211,MGP_C3HHeJ_G0033099,ENSMUSG00000031467
MGP_CASTEiJ_G0031017,MGP_129S1SvImJ_G0031979,MGP_NODShiLtJ_G0031793,MGP_C3HHeJ_G0031683,ENSMUSG00000030587
MGP_CASTEiJ_G0036219,MGP_129S1SvImJ_G0037384,MGP_NODShiLtJ_G0037155,MGP_C3HHeJ_G0037042,ENSMUSG00000065244
MGP_CASTEiJ_G0019192,MGP_129S1SvImJ_G0019899,MGP_NODShiLtJ_G0019753,MGP_C3HHeJ_G0019642,ENSMUSG00000021139
MGP_CASTEiJ_G0023195,MGP_129S1SvImJ_G0023990,MGP_NODShiLtJ_G0023811,MGP_C3HHeJ_G0023713,ENSMUSG00000033278
MGP_CASTEiJ_G0027909,MGP_129S1SvImJ_G0028780,MGP_NODShiLtJ_G0028584,MGP_C3HHeJ_G0028476,ENSMUSG00000028842
MGP_CASTEiJ_G0005807,MGP_129S1SvImJ_G0005952,MGP_NODShiLtJ_G0005889,MGP_C3HHeJ_G0005871,ENSMUSG00000085431
MGP_CASTEiJ_G0017140,MGP_129S1SvImJ_G0017817,MGP_NODShiLtJ_G0017678,MGP_C3HHeJ_G0017580,ENSMUSG00000040354
MGP_CASTEiJ_G0004729,MGP_129S1SvImJ_G0004865,MGP_NODShiLtJ_G0004791,MGP_C3HHeJ_G0004776,ENSMUSG00000101211
MGP_CASTEiJ_G0032162,MGP_129S1SvImJ_G0033135,MGP_NODShiLtJ_G0032942,MGP_C3HHeJ_G0032832,ENSMUSG00000041836
MGP_CASTEiJ_G0018537,MGP_129S1SvImJ_G0019232,MGP_NODShiLtJ_G0019085,MGP_C3HHeJ_G0018983,ENSMUSG00000006574
MGP_CASTEiJ_G0022992,MGP_129S1SvImJ_G0023785,MGP_NODShiLtJ_G0023609,MGP_C3HHeJ_G0023511,ENSMUSG00000038954
MGP_CASTEiJ_G0033946,MGP_129S1SvImJ_G0034942,MGP_NODShiLtJ_G0034739,MGP_C3HHeJ_G0034625,ENSMUSG00000036466
MGP_CASTEiJ_G0018245,MGP_129S1SvImJ_G0018935,MGP_NODShiLtJ_G0018785,MGP_C3HHeJ_G0018690,ENSMUSG00000020553
MGP_CASTEiJ_G0007297,MGP_129S1SvImJ_G0007477,MGP_NODShiLtJ_G0007398,MGP_C3HHeJ_G0007394,ENSMUSG00000099512
MGP_CASTEiJ_G0024022,MGP_129S1SvImJ_G0024815,MGP_NODShiLtJ_G0024644,MGP_C3HHeJ_G0024549,ENSMUSG00000071656
MGP_CASTEiJ_G0015437,MGP_129S1SvImJ_G0016084,MGP_NODShiLtJ_G0015950,MGP_C3HHeJ_G0015854,ENSMUSG00000040865
MGP_CASTEiJ_G0035370,MGP_129S1SvImJ_G0036513,MGP_NODShiLtJ_G0036284,MGP_C3HHeJ_G0036182,ENSMUSG00000064860
MGP_CASTEiJ_G0021437,MGP_129S1SvImJ_G0022180,MGP_NODShiLtJ_G0022008,MGP_C3HHeJ_G0021915,ENSMUSG00000036106
MGP_CASTEiJ_G0007474,MGP_129S1SvImJ_G0007659,MGP_NODShiLtJ_G0007574,MGP_C3HHeJ_G0007577,ENSMUSG00000106377
MGP_CASTEiJ_G0030877,MGP_129S1SvImJ_G0031831,MGP_NODShiLtJ_G0031645,MGP_C3HHeJ_G0031536,ENSMUSG00000064264
MGP_CASTEiJ_G0037487,MGP_129S1SvImJ_G0038706,MGP_NODShiLtJ_G0038458,MGP_C3HHeJ_G0038346,ENSMUSG00000077279
MGP_CASTEiJ_G0032955,MGP_129S1SvImJ_G0033938,MGP_NODShiLtJ_G0033742,MGP_C3HHeJ_G0033623,ENSMUSG00000078144
MGP_CASTEiJ_G0026728,MGP_129S1SvImJ_G0027574,MGP_NODShiLtJ_G0027392,MGP_C3HHeJ_G0027278,ENSMUSG00000038766
MGP_CASTEiJ_G0025784,MGP_129S1SvImJ_G0026604,MGP_NODShiLtJ_G0026421,MGP_C3HHeJ_G0026323,ENSMUSG00000037034
MGP_CASTEiJ_G0024386,MGP_129S1SvImJ_G0025190,MGP_NODShiLtJ_G0025025,MGP_C3HHeJ_G0024921,ENSMUSG00000040913
MGP_CASTEiJ_G0016813,MGP_129S1SvImJ_G0017483,MGP_NODShiLtJ_G0017344,MGP_C3HHeJ_G0017246,ENSMUSG00000035640
MGP_CASTEiJ_G0029314,MGP_129S1SvImJ_G0030210,MGP_NODShiLtJ_G0030012,MGP_C3HHeJ_G0029904,ENSMUSG00000019054
MGP_CASTEiJ_G0005516,MGP_129S1SvImJ_G0005658,MGP_NODShiLtJ_G0005589,MGP_C3HHeJ_G0005572,ENSMUSG00000099429
MGP_CASTEiJ_G0029873,MGP_129S1SvImJ_G0030776,MGP_NODShiLtJ_G0030580,MGP_C3HHeJ_G0030470,ENSMUSG00000037973
MGP_CASTEiJ_G0006229,MGP_129S1SvImJ_G0006378,MGP_NODShiLtJ_G0006312,MGP_C3HHeJ_G0006295,ENSMUSG00000097860
MGP_CASTEiJ_G0033839,MGP_129S1SvImJ_G0034834,MGP_NODShiLtJ_G0034632,MGP_C3HHeJ_G0034517,ENSMUSG00000032301
MGP_CASTEiJ_G0017375,MGP_129S1SvImJ_G0018059,MGP_NODShiLtJ_G0017916,MGP_C3HHeJ_G0017814,ENSMUSG00000000581
MGP_CASTEiJ_G0036744,MGP_129S1SvImJ_G0037940,MGP_NODShiLtJ_G0037700,MGP_C3HHeJ_G0037585,ENSMUSG00000087987
MGP_CASTEiJ_G0028751,MGP_129S1SvImJ_G0029643,MGP_NODShiLtJ_G0029446,MGP_C3HHeJ_G0029343,ENSMUSG00000029235
MGP_CASTEiJ_G0006909,MGP_129S1SvImJ_G0007085,MGP_NODShiLtJ_G0007007,MGP_C3HHeJ_G0007002,ENSMUSG00000107679
MGP_CASTEiJ_G0025136,MGP_129S1SvImJ_G0025943,MGP_NODShiLtJ_G0025776,MGP_C3HHeJ_G0025674,ENSMUSG00000050128
MGP_CASTEiJ_G0020483,MGP_129S1SvImJ_G0024025,MGP_NODShiLtJ_G0021057,MGP_C3HHeJ_G0023748,ENSMUSG00000037536
