BL6_geneid,129_geneid,C3H_geneid,NOD_geneid,CAST_geneid
ENSMUSG00000101211::ENSMUSG00000101211,MGP_129S1SvImJ_G0004865::ENSMUSG00000101211,MGP_C3HHeJ_G0004776::ENSMUSG00000101211,MGP_NODShiLtJ_G0004791::ENSMUSG00000101211,MGP_CASTEiJ_G0004729::ENSMUSG00000101211
ENSMUSG00000099512::ENSMUSG00000099512,MGP_129S1SvImJ_G0007477::ENSMUSG00000099512,MGP_C3HHeJ_G0007394::ENSMUSG00000099512,MGP_NODShiLtJ_G0007398::ENSMUSG00000099512,MGP_CASTEiJ_G0007297::ENSMUSG00000099512
ENSMUSG00000099429::ENSMUSG00000099429,MGP_129S1SvImJ_G0005658::ENSMUSG00000099429,MGP_C3HHeJ_G0005572::ENSMUSG00000099429,MGP_NODShiLtJ_G0005589::ENSMUSG00000099429,MGP_CASTEiJ_G0005516::ENSMUSG00000099429
ENSMUSG00000097860::ENSMUSG00000097860,MGP_129S1SvImJ_G0006378::ENSMUSG00000097860,MGP_C3HHeJ_G0006295::ENSMUSG00000097860,MGP_NODShiLtJ_G0006312::ENSMUSG00000097860,MGP_CASTEiJ_G0006229::ENSMUSG00000097860
ENSMUSG00000107679::ENSMUSG00000107679,MGP_129S1SvImJ_G0007085::ENSMUSG00000107679,MGP_C3HHeJ_G0007002::ENSMUSG00000107679,MGP_NODShiLtJ_G0007007::ENSMUSG00000107679,MGP_CASTEiJ_G0006909::ENSMUSG00000107679
ENSMUSG00000099839::ENSMUSG00000099839,MGP_129S1SvImJ_G0004896::ENSMUSG00000099839,MGP_C3HHeJ_G0004808::ENSMUSG00000099839,MGP_NODShiLtJ_G0004824::ENSMUSG00000099839,MGP_CASTEiJ_G0004759::ENSMUSG00000099839
ENSMUSG00000097401::ENSMUSG00000097401,MGP_129S1SvImJ_G0005648::ENSMUSG00000097401,MGP_C3HHeJ_G0005562::ENSMUSG00000097401,MGP_NODShiLtJ_G0005579::ENSMUSG00000097401,MGP_CASTEiJ_G0005506::ENSMUSG00000097401
ENSMUSG00000079070::ENSMUSG00000079070,MGP_129S1SvImJ_G0007314::ENSMUSG00000079070,MGP_C3HHeJ_G0007233::ENSMUSG00000079070,MGP_NODShiLtJ_G0007236::ENSMUSG00000079070,MGP_CASTEiJ_G0007136::ENSMUSG00000079070
ENSMUSG00000030636::ENSMUSG00000030636,MGP_129S1SvImJ_G0007229::ENSMUSG00000030636,MGP_C3HHeJ_G0007148::ENSMUSG00000030636,MGP_NODShiLtJ_G0007151::ENSMUSG00000030636,MGP_CASTEiJ_G0007050::ENSMUSG00000030636
ENSMUSG00000097783::ENSMUSG00000097783,MGP_129S1SvImJ_G0007393::ENSMUSG00000097783,MGP_C3HHeJ_G0007311::ENSMUSG00000097783,MGP_NODShiLtJ_G0007314::ENSMUSG00000097783,MGP_CASTEiJ_G0007214::ENSMUSG00000097783
ENSMUSG00000085389::ENSMUSG00000085389,MGP_129S1SvImJ_G0006519::ENSMUSG00000085389,MGP_C3HHeJ_G0006435::ENSMUSG00000085389,MGP_NODShiLtJ_G0006449::ENSMUSG00000085389,MGP_CASTEiJ_G0006367::ENSMUSG00000085389
ENSMUSG00000097135::ENSMUSG00000097135,MGP_129S1SvImJ_G0006699::ENSMUSG00000097135,MGP_C3HHeJ_G0006614::ENSMUSG00000097135,MGP_NODShiLtJ_G0006624::ENSMUSG00000097135,MGP_CASTEiJ_G0006537::ENSMUSG00000097135
ENSMUSG00000078531::ENSMUSG00000078531,MGP_129S1SvImJ_G0006524::ENSMUSG00000078531,MGP_C3HHeJ_G0006440::ENSMUSG00000078531,MGP_NODShiLtJ_G0006454::ENSMUSG00000078531,MGP_CASTEiJ_G0006372::ENSMUSG00000078531
ENSMUSG00000105618::ENSMUSG00000105618,MGP_129S1SvImJ_G0006735::ENSMUSG00000105618,MGP_C3HHeJ_G0006650::ENSMUSG00000105618,MGP_NODShiLtJ_G0006660::ENSMUSG00000105618,MGP_CASTEiJ_G0006573::ENSMUSG00000105618
ENSMUSG00000097220::ENSMUSG00000097220,MGP_129S1SvImJ_G0007248::ENSMUSG00000097220,MGP_C3HHeJ_G0007167::ENSMUSG00000097220,MGP_NODShiLtJ_G0007170::ENSMUSG00000097220,MGP_CASTEiJ_G0007069::ENSMUSG00000097220
ENSMUSG00000104306::ENSMUSG00000104306,MGP_129S1SvImJ_G0005028::ENSMUSG00000104306,MGP_C3HHeJ_G0004940::ENSMUSG00000104306,MGP_NODShiLtJ_G0004955::ENSMUSG00000104306,MGP_CASTEiJ_G0004888::ENSMUSG00000104306
ENSMUSG00000085863::ENSMUSG00000085863,MGP_129S1SvImJ_G0006474::ENSMUSG00000085863,MGP_C3HHeJ_G0006390::ENSMUSG00000085863,MGP_NODShiLtJ_G0006404::ENSMUSG00000085863,MGP_CASTEiJ_G0006323::ENSMUSG00000085863
ENSMUSG00000085345::ENSMUSG00000085345,MGP_129S1SvImJ_G0006790::ENSMUSG00000085345,MGP_C3HHeJ_G0006705::ENSMUSG00000085345,MGP_NODShiLtJ_G0006714::ENSMUSG00000085345,MGP_CASTEiJ_G0006628::ENSMUSG00000085345
ENSMUSG00000097842::ENSMUSG00000097842,MGP_129S1SvImJ_G0007120::ENSMUSG00000097842,MGP_C3HHeJ_G0007038::ENSMUSG00000097842,MGP_NODShiLtJ_G0007043::ENSMUSG00000097842,MGP_CASTEiJ_G0006942::ENSMUSG00000097842
ENSMUSG00000090732::ENSMUSG00000090732,MGP_129S1SvImJ_G0007343::ENSMUSG00000090732,MGP_C3HHeJ_G0007262::ENSMUSG00000090732,MGP_NODShiLtJ_G0007264::ENSMUSG00000090732,MGP_CASTEiJ_G0007164::ENSMUSG00000090732
ENSMUSG00000097590::ENSMUSG00000097590,MGP_129S1SvImJ_G0005634::ENSMUSG00000097590,MGP_C3HHeJ_G0005548::ENSMUSG00000097590,MGP_NODShiLtJ_G0005565::ENSMUSG00000097590,MGP_CASTEiJ_G0005492::ENSMUSG00000097590
ENSMUSG00000107855::ENSMUSG00000107855,MGP_129S1SvImJ_G0006984::ENSMUSG00000107855,MGP_C3HHeJ_G0006969::ENSMUSG00000107855,MGP_NODShiLtJ_G0006905::ENSMUSG00000107855,MGP_CASTEiJ_G0006815::ENSMUSG00000107855
ENSMUSG00000106255::ENSMUSG00000106255,MGP_129S1SvImJ_G0006719::ENSMUSG00000106255,MGP_C3HHeJ_G0006634::ENSMUSG00000106255,MGP_NODShiLtJ_G0006644::ENSMUSG00000106255,MGP_CASTEiJ_G0006557::ENSMUSG00000106255
ENSMUSG00000097281::ENSMUSG00000097281,MGP_129S1SvImJ_G0005020::ENSMUSG00000097281,MGP_C3HHeJ_G0004932::ENSMUSG00000097281,MGP_NODShiLtJ_G0004947::ENSMUSG00000097281,MGP_CASTEiJ_G0004880::ENSMUSG00000097281
ENSMUSG00000105917::ENSMUSG00000105917,MGP_129S1SvImJ_G0006339::ENSMUSG00000105917,MGP_C3HHeJ_G0006257::ENSMUSG00000105917,MGP_NODShiLtJ_G0006273::ENSMUSG00000105917,MGP_CASTEiJ_G0006191::ENSMUSG00000105917
ENSMUSG00000108569::ENSMUSG00000108569,MGP_129S1SvImJ_G0007291::ENSMUSG00000108569,MGP_C3HHeJ_G0007210::ENSMUSG00000108569,MGP_NODShiLtJ_G0007213::ENSMUSG00000108569,MGP_CASTEiJ_G0007112::ENSMUSG00000108569
ENSMUSG00000107929::ENSMUSG00000107929,MGP_129S1SvImJ_G0007027::ENSMUSG00000107929,MGP_C3HHeJ_G0006926::ENSMUSG00000107929,MGP_NODShiLtJ_G0006949::ENSMUSG00000107929,MGP_CASTEiJ_G0006854::ENSMUSG00000107929
ENSMUSG00000085693::ENSMUSG00000085693,MGP_129S1SvImJ_G0005884::ENSMUSG00000085693,MGP_C3HHeJ_G0005803::ENSMUSG00000085693,MGP_NODShiLtJ_G0005822::ENSMUSG00000085693,MGP_CASTEiJ_G0005739::ENSMUSG00000085693
ENSMUSG00000105593::ENSMUSG00000105593,MGP_129S1SvImJ_G0006810::ENSMUSG00000105593,MGP_C3HHeJ_G0006725::ENSMUSG00000105593,MGP_NODShiLtJ_G0006734::ENSMUSG00000105593,MGP_CASTEiJ_G0006648::ENSMUSG00000105593
ENSMUSG00000099747::ENSMUSG00000099747,MGP_129S1SvImJ_G0005744::ENSMUSG00000099747,MGP_C3HHeJ_G0005659::ENSMUSG00000099747,MGP_NODShiLtJ_G0005676::ENSMUSG00000099747,MGP_CASTEiJ_G0005601::ENSMUSG00000099747
ENSMUSG00000060380::ENSMUSG00000060380,MGP_129S1SvImJ_G0007430::ENSMUSG00000060380,MGP_C3HHeJ_G0007347::ENSMUSG00000060380,MGP_NODShiLtJ_G0007351::ENSMUSG00000060380,MGP_CASTEiJ_G0007251::ENSMUSG00000060380
ENSMUSG00000107815::ENSMUSG00000107815,MGP_129S1SvImJ_G0007111::ENSMUSG00000107815,MGP_C3HHeJ_G0007028::ENSMUSG00000107815,MGP_NODShiLtJ_G0007034::ENSMUSG00000107815,MGP_CASTEiJ_G0006934::ENSMUSG00000107815
ENSMUSG00000093771::ENSMUSG00000093771,MGP_129S1SvImJ_G0006661::ENSMUSG00000093771,MGP_C3HHeJ_G0006577::ENSMUSG00000093771,MGP_NODShiLtJ_G0006586::ENSMUSG00000093771,MGP_CASTEiJ_G0006499::ENSMUSG00000093771
ENSMUSG00000085772::ENSMUSG00000085772,MGP_129S1SvImJ_G0005199::ENSMUSG00000085772,MGP_C3HHeJ_G0005113::ENSMUSG00000085772,MGP_NODShiLtJ_G0005128::ENSMUSG00000085772,MGP_CASTEiJ_G0005060::ENSMUSG00000085772
ENSMUSG00000085354::ENSMUSG00000085354,MGP_129S1SvImJ_G0007294::ENSMUSG00000085354,MGP_C3HHeJ_G0007213::ENSMUSG00000085354,MGP_NODShiLtJ_G0007216::ENSMUSG00000085354,MGP_CASTEiJ_G0007115::ENSMUSG00000085354
ENSMUSG00000087647::ENSMUSG00000087647,MGP_129S1SvImJ_G0006865::ENSMUSG00000087647,MGP_C3HHeJ_G0006780::ENSMUSG00000087647,MGP_NODShiLtJ_G0006787::ENSMUSG00000087647,MGP_CASTEiJ_G0006699::ENSMUSG00000087647
ENSMUSG00000086138::ENSMUSG00000086138,MGP_129S1SvImJ_G0006508::ENSMUSG00000086138,MGP_C3HHeJ_G0006424::ENSMUSG00000086138,MGP_NODShiLtJ_G0006438::ENSMUSG00000086138,MGP_CASTEiJ_G0006356::ENSMUSG00000086138
ENSMUSG00000085951::ENSMUSG00000085951,MGP_129S1SvImJ_G0005212::ENSMUSG00000085951,MGP_C3HHeJ_G0005126::ENSMUSG00000085951,MGP_NODShiLtJ_G0005141::ENSMUSG00000085951,MGP_CASTEiJ_G0005073::ENSMUSG00000085951
ENSMUSG00000073535::ENSMUSG00000073535,MGP_129S1SvImJ_G0005007::ENSMUSG00000073535,MGP_C3HHeJ_G0004919::ENSMUSG00000073535,MGP_NODShiLtJ_G0004934::ENSMUSG00000073535,MGP_CASTEiJ_G0004867::ENSMUSG00000073535
ENSMUSG00000097582::ENSMUSG00000097582,MGP_129S1SvImJ_G0005491::ENSMUSG00000097582,MGP_C3HHeJ_G0005406::ENSMUSG00000097582,MGP_NODShiLtJ_G0005420::ENSMUSG00000097582,MGP_CASTEiJ_G0005348::ENSMUSG00000097582
ENSMUSG00000097614::ENSMUSG00000097614,MGP_129S1SvImJ_G0005327::ENSMUSG00000097614,MGP_C3HHeJ_G0005241::ENSMUSG00000097614,MGP_NODShiLtJ_G0005255::ENSMUSG00000097614,MGP_CASTEiJ_G0005188::ENSMUSG00000097614
ENSMUSG00000086485::ENSMUSG00000086485,MGP_129S1SvImJ_G0005708::ENSMUSG00000086485,MGP_C3HHeJ_G0005624::ENSMUSG00000086485,MGP_NODShiLtJ_G0005641::ENSMUSG00000086485,MGP_CASTEiJ_G0005566::ENSMUSG00000086485
ENSMUSG00000097927::ENSMUSG00000097927,MGP_129S1SvImJ_G0005570::ENSMUSG00000097927,MGP_C3HHeJ_G0005483::ENSMUSG00000097927,MGP_NODShiLtJ_G0005500::ENSMUSG00000097927,MGP_CASTEiJ_G0005426::ENSMUSG00000097927
ENSMUSG00000086593::ENSMUSG00000086593,MGP_129S1SvImJ_G0005018::ENSMUSG00000086593,MGP_C3HHeJ_G0004930::ENSMUSG00000086593,MGP_NODShiLtJ_G0004945::ENSMUSG00000086593,MGP_CASTEiJ_G0004878::ENSMUSG00000086593
ENSMUSG00000085991::ENSMUSG00000085991,MGP_129S1SvImJ_G0005274::ENSMUSG00000085991,MGP_C3HHeJ_G0005188::ENSMUSG00000085991,MGP_NODShiLtJ_G0005203::ENSMUSG00000085991,MGP_CASTEiJ_G0005135::ENSMUSG00000085991
ENSMUSG00000084850::ENSMUSG00000084850,MGP_129S1SvImJ_G0005198::ENSMUSG00000084850,MGP_C3HHeJ_G0005112::ENSMUSG00000084850,MGP_NODShiLtJ_G0005127::ENSMUSG00000084850,MGP_CASTEiJ_G0005059::ENSMUSG00000084850
ENSMUSG00000087682::ENSMUSG00000087682,MGP_129S1SvImJ_G0006010::ENSMUSG00000087682,MGP_C3HHeJ_G0005929::ENSMUSG00000087682,MGP_NODShiLtJ_G0005946::ENSMUSG00000087682,MGP_CASTEiJ_G0005864::ENSMUSG00000087682
ENSMUSG00000101224::ENSMUSG00000101224,MGP_129S1SvImJ_G0004947::ENSMUSG00000101224,MGP_C3HHeJ_G0004859::ENSMUSG00000101224,MGP_NODShiLtJ_G0004874::ENSMUSG00000101224,MGP_CASTEiJ_G0004808::ENSMUSG00000101224
ENSMUSG00000100998::ENSMUSG00000100998,MGP_129S1SvImJ_G0006491::ENSMUSG00000100998,MGP_C3HHeJ_G0006407::ENSMUSG00000100998,MGP_NODShiLtJ_G0006421::ENSMUSG00000100998,MGP_CASTEiJ_G0006339::ENSMUSG00000100998
ENSMUSG00000102531::ENSMUSG00000102531,MGP_129S1SvImJ_G0004799::ENSMUSG00000102531,MGP_C3HHeJ_G0004710::ENSMUSG00000102531,MGP_NODShiLtJ_G0004726::ENSMUSG00000102531,MGP_CASTEiJ_G0004666::ENSMUSG00000102531
ENSMUSG00000108213::ENSMUSG00000108213,MGP_129S1SvImJ_G0006987::ENSMUSG00000108213,MGP_C3HHeJ_G0006966::ENSMUSG00000108213,MGP_NODShiLtJ_G0006908::ENSMUSG00000108213,MGP_CASTEiJ_G0006818::ENSMUSG00000108213
ENSMUSG00000101714::ENSMUSG00000101714,MGP_129S1SvImJ_G0004798::ENSMUSG00000101714,MGP_C3HHeJ_G0004709::ENSMUSG00000101714,MGP_NODShiLtJ_G0004725::ENSMUSG00000101714,MGP_CASTEiJ_G0004665::ENSMUSG00000101714
ENSMUSG00000108676::ENSMUSG00000108676,MGP_129S1SvImJ_G0007268::ENSMUSG00000108676,MGP_C3HHeJ_G0007187::ENSMUSG00000108676,MGP_NODShiLtJ_G0007190::ENSMUSG00000108676,MGP_CASTEiJ_G0007089::ENSMUSG00000108676
ENSMUSG00000100658::ENSMUSG00000100658,MGP_129S1SvImJ_G0004968::ENSMUSG00000100658,MGP_C3HHeJ_G0004880::ENSMUSG00000100658,MGP_NODShiLtJ_G0004895::ENSMUSG00000100658,MGP_CASTEiJ_G0004829::ENSMUSG00000100658
ENSMUSG00000096990::ENSMUSG00000096990,MGP_129S1SvImJ_G0007148::ENSMUSG00000096990,MGP_C3HHeJ_G0007066::ENSMUSG00000096990,MGP_NODShiLtJ_G0007071::ENSMUSG00000096990,MGP_CASTEiJ_G0006970::ENSMUSG00000096990
ENSMUSG00000085167::ENSMUSG00000085167,MGP_129S1SvImJ_G0005186::ENSMUSG00000085167,MGP_C3HHeJ_G0005100::ENSMUSG00000085167,MGP_NODShiLtJ_G0005115::ENSMUSG00000085167,MGP_CASTEiJ_G0005047::ENSMUSG00000085167
ENSMUSG00000097018::ENSMUSG00000097018,MGP_129S1SvImJ_G0006736::ENSMUSG00000097018,MGP_C3HHeJ_G0006651::ENSMUSG00000097018,MGP_NODShiLtJ_G0006661::ENSMUSG00000097018,MGP_CASTEiJ_G0006574::ENSMUSG00000097018
ENSMUSG00000097303::ENSMUSG00000097303,MGP_129S1SvImJ_G0005554::ENSMUSG00000097303,MGP_C3HHeJ_G0005467::ENSMUSG00000097303,MGP_NODShiLtJ_G0005483::ENSMUSG00000097303,MGP_CASTEiJ_G0005410::ENSMUSG00000097303
ENSMUSG00000103103::ENSMUSG00000103103,MGP_129S1SvImJ_G0007507::ENSMUSG00000103103,MGP_C3HHeJ_G0007424::ENSMUSG00000103103,MGP_NODShiLtJ_G0007428::ENSMUSG00000103103,MGP_CASTEiJ_G0007327::ENSMUSG00000103103
ENSMUSG00000097243::ENSMUSG00000097243,MGP_129S1SvImJ_G0005565::ENSMUSG00000097243,MGP_C3HHeJ_G0005478::ENSMUSG00000097243,MGP_NODShiLtJ_G0005495::ENSMUSG00000097243,MGP_CASTEiJ_G0005421::ENSMUSG00000097243
ENSMUSG00000085329::ENSMUSG00000085329,MGP_129S1SvImJ_G0005683::ENSMUSG00000085329,MGP_C3HHeJ_G0005597::ENSMUSG00000085329,MGP_NODShiLtJ_G0005614::ENSMUSG00000085329,MGP_CASTEiJ_G0005540::ENSMUSG00000085329
ENSMUSG00000084799::ENSMUSG00000084799,MGP_129S1SvImJ_G0004851::ENSMUSG00000084799,MGP_C3HHeJ_G0004762::ENSMUSG00000084799,MGP_NODShiLtJ_G0004777::ENSMUSG00000084799,MGP_CASTEiJ_G0004715::ENSMUSG00000084799
ENSMUSG00000041789::ENSMUSG00000041789,MGP_129S1SvImJ_G0005795::ENSMUSG00000041789,MGP_C3HHeJ_G0005711::ENSMUSG00000041789,MGP_NODShiLtJ_G0005729::ENSMUSG00000041789,MGP_CASTEiJ_G0005652::ENSMUSG00000041789
ENSMUSG00000055370::ENSMUSG00000055370,MGP_129S1SvImJ_G0005661::ENSMUSG00000055370,MGP_C3HHeJ_G0005575::ENSMUSG00000055370,MGP_NODShiLtJ_G0005592::ENSMUSG00000055370,MGP_CASTEiJ_G0005519::ENSMUSG00000055370
ENSMUSG00000104461::ENSMUSG00000104461,MGP_129S1SvImJ_G0005070::ENSMUSG00000104461,MGP_C3HHeJ_G0004983::ENSMUSG00000104461,MGP_NODShiLtJ_G0004996::ENSMUSG00000104461,MGP_CASTEiJ_G0004930::ENSMUSG00000104461
ENSMUSG00000108084::ENSMUSG00000108084,MGP_129S1SvImJ_G0006952::ENSMUSG00000108084,MGP_C3HHeJ_G0006868::ENSMUSG00000108084,MGP_NODShiLtJ_G0006873::ENSMUSG00000108084,MGP_CASTEiJ_G0006784::ENSMUSG00000108084
ENSMUSG00000097261::ENSMUSG00000097261,MGP_129S1SvImJ_G0005071::ENSMUSG00000097261,MGP_C3HHeJ_G0004984::ENSMUSG00000097261,MGP_NODShiLtJ_G0004997::ENSMUSG00000097261,MGP_CASTEiJ_G0004931::ENSMUSG00000097261
ENSMUSG00000042579::ENSMUSG00000042579,MGP_129S1SvImJ_G0006235::ENSMUSG00000042579,MGP_C3HHeJ_G0006153::ENSMUSG00000042579,MGP_NODShiLtJ_G0006171::ENSMUSG00000042579,MGP_CASTEiJ_G0006087::ENSMUSG00000042579
ENSMUSG00000101791::ENSMUSG00000101791,MGP_129S1SvImJ_G0004956::ENSMUSG00000101791,MGP_C3HHeJ_G0004868::ENSMUSG00000101791,MGP_NODShiLtJ_G0004883::ENSMUSG00000101791,MGP_CASTEiJ_G0004817::ENSMUSG00000101791
ENSMUSG00000107637::ENSMUSG00000107637,MGP_129S1SvImJ_G0007054::ENSMUSG00000107637,MGP_C3HHeJ_G0006898::ENSMUSG00000107637,MGP_NODShiLtJ_G0006976::ENSMUSG00000107637,MGP_CASTEiJ_G0006881::ENSMUSG00000107637
ENSMUSG00000097384::ENSMUSG00000097384,MGP_129S1SvImJ_G0007392::ENSMUSG00000097384,MGP_C3HHeJ_G0007310::ENSMUSG00000097384,MGP_NODShiLtJ_G0007313::ENSMUSG00000097384,MGP_CASTEiJ_G0007213::ENSMUSG00000097384
ENSMUSG00000087292::ENSMUSG00000087292,MGP_129S1SvImJ_G0006771::ENSMUSG00000087292,MGP_C3HHeJ_G0006686::ENSMUSG00000087292,MGP_NODShiLtJ_G0006696::ENSMUSG00000087292,MGP_CASTEiJ_G0006609::ENSMUSG00000087292
ENSMUSG00000099933::ENSMUSG00000099933,MGP_129S1SvImJ_G0005003::ENSMUSG00000099933,MGP_C3HHeJ_G0004915::ENSMUSG00000099933,MGP_NODShiLtJ_G0004930::ENSMUSG00000099933,MGP_CASTEiJ_G0004863::ENSMUSG00000099933
ENSMUSG00000106745::ENSMUSG00000106745,MGP_129S1SvImJ_G0006784::ENSMUSG00000106745,MGP_C3HHeJ_G0006699::ENSMUSG00000106745,MGP_NODShiLtJ_G0006708::ENSMUSG00000106745,MGP_CASTEiJ_G0006622::ENSMUSG00000106745
ENSMUSG00000090936::ENSMUSG00000090936,MGP_129S1SvImJ_G0005727::ENSMUSG00000090936,MGP_C3HHeJ_G0005642::ENSMUSG00000090936,MGP_NODShiLtJ_G0005660::ENSMUSG00000090936,MGP_CASTEiJ_G0005585::ENSMUSG00000090936
ENSMUSG00000084891::ENSMUSG00000084891,MGP_129S1SvImJ_G0006512::ENSMUSG00000084891,MGP_C3HHeJ_G0006428::ENSMUSG00000084891,MGP_NODShiLtJ_G0006442::ENSMUSG00000084891,MGP_CASTEiJ_G0006360::ENSMUSG00000084891
ENSMUSG00000097522::ENSMUSG00000097522,MGP_129S1SvImJ_G0005477::ENSMUSG00000097522,MGP_C3HHeJ_G0005392::ENSMUSG00000097522,MGP_NODShiLtJ_G0005406::ENSMUSG00000097522,MGP_CASTEiJ_G0005334::ENSMUSG00000097522
ENSMUSG00000087085::ENSMUSG00000087085,MGP_129S1SvImJ_G0005189::ENSMUSG00000087085,MGP_C3HHeJ_G0005103::ENSMUSG00000087085,MGP_NODShiLtJ_G0005118::ENSMUSG00000087085,MGP_CASTEiJ_G0005050::ENSMUSG00000087085
ENSMUSG00000086095::ENSMUSG00000086095,MGP_129S1SvImJ_G0005771::ENSMUSG00000086095,MGP_C3HHeJ_G0005687::ENSMUSG00000086095,MGP_NODShiLtJ_G0005705::ENSMUSG00000086095,MGP_CASTEiJ_G0005629::ENSMUSG00000086095
ENSMUSG00000099669::ENSMUSG00000099669,MGP_129S1SvImJ_G0004932::ENSMUSG00000099669,MGP_C3HHeJ_G0004844::ENSMUSG00000099669,MGP_NODShiLtJ_G0004859::ENSMUSG00000099669,MGP_CASTEiJ_G0004793::ENSMUSG00000099669
ENSMUSG00000085015::ENSMUSG00000085015,MGP_129S1SvImJ_G0005943::ENSMUSG00000085015,MGP_C3HHeJ_G0005862::ENSMUSG00000085015,MGP_NODShiLtJ_G0005881::ENSMUSG00000085015,MGP_CASTEiJ_G0005798::ENSMUSG00000085015
ENSMUSG00000107013::ENSMUSG00000107013,MGP_129S1SvImJ_G0007066::ENSMUSG00000107013,MGP_C3HHeJ_G0006982::ENSMUSG00000107013,MGP_NODShiLtJ_G0006988::ENSMUSG00000107013,MGP_CASTEiJ_G0006893::ENSMUSG00000107013
ENSMUSG00000108504::ENSMUSG00000108504,MGP_129S1SvImJ_G0007285::ENSMUSG00000108504,MGP_C3HHeJ_G0007204::ENSMUSG00000108504,MGP_NODShiLtJ_G0007207::ENSMUSG00000108504,MGP_CASTEiJ_G0007106::ENSMUSG00000108504
ENSMUSG00000108274::ENSMUSG00000108274,MGP_129S1SvImJ_G0007034::ENSMUSG00000108274,MGP_C3HHeJ_G0006918::ENSMUSG00000108274,MGP_NODShiLtJ_G0006956::ENSMUSG00000108274,MGP_CASTEiJ_G0006861::ENSMUSG00000108274
ENSMUSG00000084869::ENSMUSG00000084869,MGP_129S1SvImJ_G0006527::ENSMUSG00000084869,MGP_C3HHeJ_G0006443::ENSMUSG00000084869,MGP_NODShiLtJ_G0006457::ENSMUSG00000084869,MGP_CASTEiJ_G0006375::ENSMUSG00000084869
ENSMUSG00000103116::ENSMUSG00000103116,MGP_129S1SvImJ_G0006118::ENSMUSG00000103116,MGP_C3HHeJ_G0006035::ENSMUSG00000103116,MGP_NODShiLtJ_G0006053::ENSMUSG00000103116,MGP_CASTEiJ_G0005971::ENSMUSG00000103116
ENSMUSG00000097639::ENSMUSG00000097639,MGP_129S1SvImJ_G0006175::ENSMUSG00000097639,MGP_C3HHeJ_G0006093::ENSMUSG00000097639,MGP_NODShiLtJ_G0006111::ENSMUSG00000097639,MGP_CASTEiJ_G0006028::ENSMUSG00000097639
ENSMUSG00000108373::ENSMUSG00000108373,MGP_129S1SvImJ_G0007224::ENSMUSG00000108373,MGP_C3HHeJ_G0007143::ENSMUSG00000108373,MGP_NODShiLtJ_G0007146::ENSMUSG00000108373,MGP_CASTEiJ_G0007045::ENSMUSG00000108373
