BL6_geneid,129_geneid,C3H_geneid,CAST_geneid,NOD_geneid
ENSMUSG00000027339::ENSMUSG00000027339,MGP_129S1SvImJ_G0026537::ENSMUSG00000027339,MGP_C3HHeJ_G0026256::ENSMUSG00000027339,MGP_CASTEiJ_G0025717::ENSMUSG00000027339,MGP_NODShiLtJ_G0026354::ENSMUSG00000027339
ENSMUSG00000030203::ENSMUSG00000030203,MGP_129S1SvImJ_G0031407::ENSMUSG00000030203,MGP_C3HHeJ_G0031111::ENSMUSG00000030203,MGP_CASTEiJ_G0030480::ENSMUSG00000030203,MGP_NODShiLtJ_G0031218::ENSMUSG00000030203
ENSMUSG00000058022::ENSMUSG00000058022,MGP_129S1SvImJ_G0020492::ENSMUSG00000058022,MGP_C3HHeJ_G0020241::ENSMUSG00000058022,MGP_CASTEiJ_G0019756::ENSMUSG00000058022,MGP_NODShiLtJ_G0020332::ENSMUSG00000058022
ENSMUSG00000030606::ENSMUSG00000030606,MGP_129S1SvImJ_G0032384::ENSMUSG00000030606,MGP_C3HHeJ_G0032088::ENSMUSG00000030606,MGP_CASTEiJ_G0031416::ENSMUSG00000030606,MGP_NODShiLtJ_G0032201::ENSMUSG00000030606
ENSMUSG00000022901::ENSMUSG00000022901,MGP_129S1SvImJ_G0022790::ENSMUSG00000022901,MGP_C3HHeJ_G0022520::ENSMUSG00000022901,MGP_CASTEiJ_G0022046::ENSMUSG00000022901,MGP_NODShiLtJ_G0022617::ENSMUSG00000022901
ENSMUSG00000040891::ENSMUSG00000040891,MGP_129S1SvImJ_G0031753::ENSMUSG00000040891,MGP_C3HHeJ_G0031456::ENSMUSG00000040891,MGP_CASTEiJ_G0030799::ENSMUSG00000040891,MGP_NODShiLtJ_G0031561::ENSMUSG00000040891
ENSMUSG00000074570::ENSMUSG00000074570,MGP_129S1SvImJ_G0026944::ENSMUSG00000074570,MGP_C3HHeJ_G0026662::ENSMUSG00000074570,MGP_CASTEiJ_G0026120::ENSMUSG00000074570,MGP_NODShiLtJ_G0026762::ENSMUSG00000074570
ENSMUSG00000025498::ENSMUSG00000025498,MGP_129S1SvImJ_G0033219::ENSMUSG00000025498,MGP_C3HHeJ_G0032916::ENSMUSG00000025498,MGP_CASTEiJ_G0032246::ENSMUSG00000025498,MGP_NODShiLtJ_G0033026::ENSMUSG00000025498
ENSMUSG00000025586::ENSMUSG00000025586,MGP_129S1SvImJ_G0032428::ENSMUSG00000025586,MGP_C3HHeJ_G0032132::ENSMUSG00000025586,MGP_CASTEiJ_G0031460::ENSMUSG00000025586,MGP_NODShiLtJ_G0032245::ENSMUSG00000025586
ENSMUSG00000003099::ENSMUSG00000003099,MGP_129S1SvImJ_G0031727::ENSMUSG00000003099,MGP_C3HHeJ_G0031428::ENSMUSG00000003099,MGP_CASTEiJ_G0030779::ENSMUSG00000003099,MGP_NODShiLtJ_G0031534::ENSMUSG00000003099
ENSMUSG00000050270::ENSMUSG00000050270,MGP_129S1SvImJ_G0018482::ENSMUSG00000050270,MGP_C3HHeJ_G0018235::ENSMUSG00000050270,MGP_CASTEiJ_G0017791::ENSMUSG00000050270,MGP_NODShiLtJ_G0018332::ENSMUSG00000050270
ENSMUSG00000023118::ENSMUSG00000023118,MGP_129S1SvImJ_G0031754::ENSMUSG00000023118,MGP_C3HHeJ_G0031457::ENSMUSG00000023118,MGP_CASTEiJ_G0030800::ENSMUSG00000023118,MGP_NODShiLtJ_G0031562::ENSMUSG00000023118
ENSMUSG00000065990::ENSMUSG00000065990,MGP_129S1SvImJ_G0029231::ENSMUSG00000065990,MGP_C3HHeJ_G0028933::ENSMUSG00000065990,MGP_CASTEiJ_G0028345::ENSMUSG00000065990,MGP_NODShiLtJ_G0029034::ENSMUSG00000065990
ENSMUSG00000047259::ENSMUSG00000047259,MGP_129S1SvImJ_G0024518::ENSMUSG00000047259,MGP_C3HHeJ_G0024252::ENSMUSG00000047259,MGP_CASTEiJ_G0023725::ENSMUSG00000047259,MGP_NODShiLtJ_G0024347::ENSMUSG00000047259
ENSMUSG00000046006::ENSMUSG00000046006,MGP_129S1SvImJ_G0020929::ENSMUSG00000046006,MGP_C3HHeJ_G0020668::ENSMUSG00000046006,MGP_CASTEiJ_G0020187::ENSMUSG00000046006,MGP_NODShiLtJ_G0020764::ENSMUSG00000046006
ENSMUSG00000026970::ENSMUSG00000026970,MGP_129S1SvImJ_G0025764::ENSMUSG00000026970,MGP_C3HHeJ_G0025496::ENSMUSG00000026970,MGP_CASTEiJ_G0024960::ENSMUSG00000026970,MGP_NODShiLtJ_G0025600::ENSMUSG00000026970
ENSMUSG00000038537::ENSMUSG00000038537,MGP_129S1SvImJ_G0026940::ENSMUSG00000038537,MGP_C3HHeJ_G0026658::ENSMUSG00000038537,MGP_CASTEiJ_G0026116::ENSMUSG00000038537,MGP_NODShiLtJ_G0026758::ENSMUSG00000038537
ENSMUSG00000028121::ENSMUSG00000028121,MGP_129S1SvImJ_G0027839::ENSMUSG00000028121,MGP_C3HHeJ_G0027540::ENSMUSG00000028121,MGP_CASTEiJ_G0026996::ENSMUSG00000028121,MGP_NODShiLtJ_G0027654::ENSMUSG00000028121
ENSMUSG00000025142::ENSMUSG00000025142,MGP_129S1SvImJ_G0019521::ENSMUSG00000025142,MGP_C3HHeJ_G0019270::ENSMUSG00000025142,MGP_CASTEiJ_G0018824::ENSMUSG00000025142,MGP_NODShiLtJ_G0019378::ENSMUSG00000025142
ENSMUSG00000057074::ENSMUSG00000057074,MGP_129S1SvImJ_G0033946::ENSMUSG00000057074,MGP_C3HHeJ_G0033631::ENSMUSG00000057074,MGP_CASTEiJ_G0032963::ENSMUSG00000057074,MGP_NODShiLtJ_G0033750::ENSMUSG00000057074
ENSMUSG00000031274::ENSMUSG00000031274,MGP_129S1SvImJ_G0036143::ENSMUSG00000031274,MGP_C3HHeJ_G0035819::ENSMUSG00000031274,MGP_CASTEiJ_G0035111::ENSMUSG00000031274,MGP_NODShiLtJ_G0035924::ENSMUSG00000031274
ENSMUSG00000053868::ENSMUSG00000053868,MGP_129S1SvImJ_G0021418::ENSMUSG00000053868,MGP_C3HHeJ_G0021161::ENSMUSG00000053868,MGP_CASTEiJ_G0020679::ENSMUSG00000053868,MGP_NODShiLtJ_G0021258::ENSMUSG00000053868
ENSMUSG00000040139::ENSMUSG00000040139,MGP_129S1SvImJ_G0033139::ENSMUSG00000040139,MGP_C3HHeJ_G0032836::ENSMUSG00000040139,MGP_CASTEiJ_G0032166::ENSMUSG00000040139,MGP_NODShiLtJ_G0032946::ENSMUSG00000040139
ENSMUSG00000028943::ENSMUSG00000028943,MGP_129S1SvImJ_G0029173::ENSMUSG00000028943,MGP_C3HHeJ_G0028875::ENSMUSG00000028943,MGP_CASTEiJ_G0028288::ENSMUSG00000028943,MGP_NODShiLtJ_G0028977::ENSMUSG00000028943
ENSMUSG00000026333::ENSMUSG00000026333,MGP_129S1SvImJ_G0016360::ENSMUSG00000026333,MGP_C3HHeJ_G0016127::ENSMUSG00000026333,MGP_CASTEiJ_G0015709::ENSMUSG00000026333,MGP_NODShiLtJ_G0016232::ENSMUSG00000026333
ENSMUSG00000033845::ENSMUSG00000033845,MGP_129S1SvImJ_G0015810::ENSMUSG00000033845,MGP_C3HHeJ_G0015582::ENSMUSG00000033845,MGP_CASTEiJ_G0015162::ENSMUSG00000033845,MGP_NODShiLtJ_G0015678::ENSMUSG00000033845
ENSMUSG00000026197::ENSMUSG00000026197,MGP_129S1SvImJ_G0016173::ENSMUSG00000026197,MGP_C3HHeJ_G0015942::ENSMUSG00000026197,MGP_CASTEiJ_G0015526::ENSMUSG00000026197,MGP_NODShiLtJ_G0016039::ENSMUSG00000026197
ENSMUSG00000022663::ENSMUSG00000022663,MGP_129S1SvImJ_G0022849::ENSMUSG00000022663,MGP_C3HHeJ_G0022579::ENSMUSG00000022663,MGP_CASTEiJ_G0022104::ENSMUSG00000022663,MGP_NODShiLtJ_G0022676::ENSMUSG00000022663
ENSMUSG00000027680::ENSMUSG00000027680,MGP_129S1SvImJ_G0027148::ENSMUSG00000027680,MGP_C3HHeJ_G0026863::ENSMUSG00000027680,MGP_CASTEiJ_G0026316::ENSMUSG00000027680,MGP_NODShiLtJ_G0026962::ENSMUSG00000027680
ENSMUSG00000073421::ENSMUSG00000073421,MGP_129S1SvImJ_G0023567::ENSMUSG00000073421,MGP_C3HHeJ_G0023293::ENSMUSG00000073421,MGP_CASTEiJ_G0022793::ENSMUSG00000073421,MGP_NODShiLtJ_G0023389::ENSMUSG00000073421
ENSMUSG00000020424::ENSMUSG00000020424,MGP_129S1SvImJ_G0017979::ENSMUSG00000020424,MGP_C3HHeJ_G0017733::ENSMUSG00000020424,MGP_CASTEiJ_G0017295::ENSMUSG00000020424,MGP_NODShiLtJ_G0017836::ENSMUSG00000020424
ENSMUSG00000054263::ENSMUSG00000054263,MGP_129S1SvImJ_G0021700::ENSMUSG00000054263,MGP_C3HHeJ_G0021444::ENSMUSG00000054263,MGP_CASTEiJ_G0020960::ENSMUSG00000054263,MGP_NODShiLtJ_G0021540::ENSMUSG00000054263
ENSMUSG00000029781::ENSMUSG00000029781,MGP_129S1SvImJ_G0030782::ENSMUSG00000029781,MGP_C3HHeJ_G0030476::ENSMUSG00000029781,MGP_CASTEiJ_G0029879::ENSMUSG00000029781,MGP_NODShiLtJ_G0030586::ENSMUSG00000029781
ENSMUSG00000021288::ENSMUSG00000021288,MGP_129S1SvImJ_G0020141::ENSMUSG00000021288,MGP_C3HHeJ_G0019884::ENSMUSG00000021288,MGP_CASTEiJ_G0019425::ENSMUSG00000021288,MGP_NODShiLtJ_G0019991::ENSMUSG00000021288
ENSMUSG00000021326::ENSMUSG00000021326,MGP_129S1SvImJ_G0020269::ENSMUSG00000021326,MGP_C3HHeJ_G0020014::ENSMUSG00000021326,MGP_CASTEiJ_G0019549::ENSMUSG00000021326,MGP_NODShiLtJ_G0020119::ENSMUSG00000021326
ENSMUSG00000020042::ENSMUSG00000020042,MGP_129S1SvImJ_G0017601::ENSMUSG00000020042,MGP_C3HHeJ_G0017366::ENSMUSG00000020042,MGP_CASTEiJ_G0016933::ENSMUSG00000020042,MGP_NODShiLtJ_G0017464::ENSMUSG00000020042
ENSMUSG00000038984::ENSMUSG00000038984,MGP_129S1SvImJ_G0021774::ENSMUSG00000038984,MGP_C3HHeJ_G0021516::ENSMUSG00000038984,MGP_CASTEiJ_G0021032::ENSMUSG00000038984,MGP_NODShiLtJ_G0021612::ENSMUSG00000038984
ENSMUSG00000071068::ENSMUSG00000071068,MGP_129S1SvImJ_G0023867::ENSMUSG00000071068,MGP_C3HHeJ_G0023592::ENSMUSG00000071068,MGP_CASTEiJ_G0023074::ENSMUSG00000071068,MGP_NODShiLtJ_G0023691::ENSMUSG00000071068
ENSMUSG00000038615::ENSMUSG00000038615,MGP_129S1SvImJ_G0019013::ENSMUSG00000038615,MGP_C3HHeJ_G0018768::ENSMUSG00000038615,MGP_CASTEiJ_G0018321::ENSMUSG00000038615,MGP_NODShiLtJ_G0018863::ENSMUSG00000038615
ENSMUSG00000054237::ENSMUSG00000054237,MGP_129S1SvImJ_G0025090::ENSMUSG00000054237,MGP_C3HHeJ_G0024823::ENSMUSG00000054237,MGP_CASTEiJ_G0024290::ENSMUSG00000054237,MGP_NODShiLtJ_G0024924::ENSMUSG00000054237
ENSMUSG00000048621::ENSMUSG00000048621,MGP_129S1SvImJ_G0036023::ENSMUSG00000048621,MGP_C3HHeJ_G0035699::ENSMUSG00000048621,MGP_CASTEiJ_G0034986::ENSMUSG00000048621,MGP_NODShiLtJ_G0035800::ENSMUSG00000048621
ENSMUSG00000071855::ENSMUSG00000071855,MGP_129S1SvImJ_G0024406::ENSMUSG00000071855,MGP_C3HHeJ_G0024140::ENSMUSG00000071855,MGP_CASTEiJ_G0023614::ENSMUSG00000071855,MGP_NODShiLtJ_G0024236::ENSMUSG00000071855
ENSMUSG00000006019::ENSMUSG00000006019,MGP_129S1SvImJ_G0031702::ENSMUSG00000006019,MGP_C3HHeJ_G0031403::ENSMUSG00000006019,MGP_CASTEiJ_G0030754::ENSMUSG00000006019,MGP_NODShiLtJ_G0031509::ENSMUSG00000006019
ENSMUSG00000037851::ENSMUSG00000037851,MGP_129S1SvImJ_G0020542::ENSMUSG00000037851,MGP_C3HHeJ_G0020291::ENSMUSG00000037851,MGP_CASTEiJ_G0019806::ENSMUSG00000037851,MGP_NODShiLtJ_G0020382::ENSMUSG00000037851
ENSMUSG00000039508::ENSMUSG00000039508,MGP_129S1SvImJ_G0017134::ENSMUSG00000039508,MGP_C3HHeJ_G0016894::ENSMUSG00000039508,MGP_CASTEiJ_G0016473::ENSMUSG00000039508,MGP_NODShiLtJ_G0016998::ENSMUSG00000039508
ENSMUSG00000033964::ENSMUSG00000033964,MGP_129S1SvImJ_G0016552::ENSMUSG00000033964,MGP_C3HHeJ_G0016321::ENSMUSG00000033964,MGP_CASTEiJ_G0015901::ENSMUSG00000033964,MGP_NODShiLtJ_G0016424::ENSMUSG00000033964
ENSMUSG00000028059::ENSMUSG00000028059,MGP_129S1SvImJ_G0027404::ENSMUSG00000028059,MGP_C3HHeJ_G0027119::ENSMUSG00000028059,MGP_CASTEiJ_G0026565::ENSMUSG00000028059,MGP_NODShiLtJ_G0027219::ENSMUSG00000028059
ENSMUSG00000071660::ENSMUSG00000071660,MGP_129S1SvImJ_G0024811::ENSMUSG00000071660,MGP_C3HHeJ_G0024545::ENSMUSG00000071660,MGP_CASTEiJ_G0024018::ENSMUSG00000071660,MGP_NODShiLtJ_G0024640::ENSMUSG00000071660
ENSMUSG00000043982::ENSMUSG00000043982,MGP_129S1SvImJ_G0023000::ENSMUSG00000043982,MGP_C3HHeJ_G0022731::ENSMUSG00000043982,MGP_CASTEiJ_G0022252::ENSMUSG00000043982,MGP_NODShiLtJ_G0022829::ENSMUSG00000043982
ENSMUSG00000050299::ENSMUSG00000050299,MGP_129S1SvImJ_G0024740::ENSMUSG00000050299,MGP_C3HHeJ_G0024474::ENSMUSG00000050299,MGP_CASTEiJ_G0023946::ENSMUSG00000050299,MGP_NODShiLtJ_G0022785::ENSMUSG00000050299
ENSMUSG00000041673::ENSMUSG00000041673,MGP_129S1SvImJ_G0021154::ENSMUSG00000041673,MGP_C3HHeJ_G0020889::ENSMUSG00000041673,MGP_CASTEiJ_G0020414::ENSMUSG00000041673,MGP_NODShiLtJ_G0020988::ENSMUSG00000041673
ENSMUSG00000027668::ENSMUSG00000027668,MGP_129S1SvImJ_G0027139::ENSMUSG00000027668,MGP_C3HHeJ_G0026854::ENSMUSG00000027668,MGP_CASTEiJ_G0026307::ENSMUSG00000027668,MGP_NODShiLtJ_G0026953::ENSMUSG00000027668
ENSMUSG00000003348::ENSMUSG00000003348,MGP_129S1SvImJ_G0017514::ENSMUSG00000003348,MGP_C3HHeJ_G0017277::ENSMUSG00000003348,MGP_CASTEiJ_G0016844::ENSMUSG00000003348,MGP_NODShiLtJ_G0017375::ENSMUSG00000003348
ENSMUSG00000074738::ENSMUSG00000074738,MGP_129S1SvImJ_G0029222::ENSMUSG00000074738,MGP_C3HHeJ_G0028924::ENSMUSG00000074738,MGP_CASTEiJ_G0028336::ENSMUSG00000074738,MGP_NODShiLtJ_G0029025::ENSMUSG00000074738
ENSMUSG00000037780::ENSMUSG00000037780,MGP_129S1SvImJ_G0021198::ENSMUSG00000037780,MGP_C3HHeJ_G0020933::ENSMUSG00000037780,MGP_CASTEiJ_G0020458::ENSMUSG00000037780,MGP_NODShiLtJ_G0021032::ENSMUSG00000037780
ENSMUSG00000044286::ENSMUSG00000044286,MGP_129S1SvImJ_G0021289::ENSMUSG00000044286,MGP_C3HHeJ_G0021030::ENSMUSG00000044286,MGP_CASTEiJ_G0020549::ENSMUSG00000044286,MGP_NODShiLtJ_G0021124::ENSMUSG00000044286
ENSMUSG00000047747::ENSMUSG00000047747,MGP_129S1SvImJ_G0033825::ENSMUSG00000047747,MGP_C3HHeJ_G0033510::ENSMUSG00000047747,MGP_CASTEiJ_G0032841::ENSMUSG00000047747,MGP_NODShiLtJ_G0033630::ENSMUSG00000047747
ENSMUSG00000032946::ENSMUSG00000032946,MGP_129S1SvImJ_G0024763::ENSMUSG00000032946,MGP_C3HHeJ_G0024497::ENSMUSG00000032946,MGP_CASTEiJ_G0023969::ENSMUSG00000032946,MGP_NODShiLtJ_G0024591::ENSMUSG00000032946
ENSMUSG00000045502::ENSMUSG00000045502,MGP_129S1SvImJ_G0030080::ENSMUSG00000045502,MGP_C3HHeJ_G0029773::ENSMUSG00000045502,MGP_CASTEiJ_G0029182::ENSMUSG00000045502,MGP_NODShiLtJ_G0029880::ENSMUSG00000045502
ENSMUSG00000068037::ENSMUSG00000068037,MGP_129S1SvImJ_G0023150::ENSMUSG00000068037,MGP_C3HHeJ_G0022881::ENSMUSG00000068037,MGP_CASTEiJ_G0022395::ENSMUSG00000068037,MGP_NODShiLtJ_G0022975::ENSMUSG00000068037
ENSMUSG00000032218::ENSMUSG00000032218,MGP_129S1SvImJ_G0034999::ENSMUSG00000032218,MGP_C3HHeJ_G0034681::ENSMUSG00000032218,MGP_CASTEiJ_G0034003::ENSMUSG00000032218,MGP_NODShiLtJ_G0034796::ENSMUSG00000032218
ENSMUSG00000043460::ENSMUSG00000043460,MGP_129S1SvImJ_G0022050::ENSMUSG00000043460,MGP_C3HHeJ_G0021788::ENSMUSG00000043460,MGP_CASTEiJ_G0021309::ENSMUSG00000043460,MGP_NODShiLtJ_G0021880::ENSMUSG00000043460
ENSMUSG00000022175::ENSMUSG00000022175,MGP_129S1SvImJ_G0021310::ENSMUSG00000022175,MGP_C3HHeJ_G0021053::ENSMUSG00000022175,MGP_CASTEiJ_G0020572::ENSMUSG00000022175,MGP_NODShiLtJ_G0021147::ENSMUSG00000022175
ENSMUSG00000006777::ENSMUSG00000006777,MGP_129S1SvImJ_G0019094::ENSMUSG00000006777,MGP_C3HHeJ_G0018849::ENSMUSG00000006777,MGP_CASTEiJ_G0018404::ENSMUSG00000006777,MGP_NODShiLtJ_G0018944::ENSMUSG00000006777
ENSMUSG00000043531::ENSMUSG00000043531,MGP_129S1SvImJ_G0025240::ENSMUSG00000043531,MGP_C3HHeJ_G0024971::ENSMUSG00000043531,MGP_CASTEiJ_G0024435::ENSMUSG00000043531,MGP_NODShiLtJ_G0025075::ENSMUSG00000043531
ENSMUSG00000073380::ENSMUSG00000073380,MGP_129S1SvImJ_G0023923::ENSMUSG00000073380,MGP_C3HHeJ_G0023646::ENSMUSG00000073380,MGP_CASTEiJ_G0023128::ENSMUSG00000073380,MGP_NODShiLtJ_G0023744::ENSMUSG00000073380
ENSMUSG00000056436::ENSMUSG00000056436,MGP_129S1SvImJ_G0025863::ENSMUSG00000056436,MGP_C3HHeJ_G0025595::ENSMUSG00000056436,MGP_CASTEiJ_G0025057::ENSMUSG00000056436,MGP_NODShiLtJ_G0025700::ENSMUSG00000056436
ENSMUSG00000026668::ENSMUSG00000026668,MGP_129S1SvImJ_G0025318::ENSMUSG00000026668,MGP_C3HHeJ_G0025051::ENSMUSG00000026668,MGP_CASTEiJ_G0024514::ENSMUSG00000026668,MGP_NODShiLtJ_G0025156::ENSMUSG00000026668
ENSMUSG00000047459::ENSMUSG00000047459,MGP_129S1SvImJ_G0026730::ENSMUSG00000047459,MGP_C3HHeJ_G0026448::ENSMUSG00000047459,MGP_CASTEiJ_G0025909::ENSMUSG00000047459,MGP_NODShiLtJ_G0026550::ENSMUSG00000047459
ENSMUSG00000047907::ENSMUSG00000047907,MGP_129S1SvImJ_G0026932::ENSMUSG00000047907,MGP_C3HHeJ_G0026650::ENSMUSG00000047907,MGP_CASTEiJ_G0026108::ENSMUSG00000047907,MGP_NODShiLtJ_G0026750::ENSMUSG00000047907
ENSMUSG00000001773::ENSMUSG00000001773,MGP_129S1SvImJ_G0032485::ENSMUSG00000001773,MGP_C3HHeJ_G0032185::ENSMUSG00000001773,MGP_CASTEiJ_G0031512::ENSMUSG00000001773,MGP_NODShiLtJ_G0032294::ENSMUSG00000001773
ENSMUSG00000027777::ENSMUSG00000027777,MGP_129S1SvImJ_G0027286::ENSMUSG00000027777,MGP_C3HHeJ_G0027003::ENSMUSG00000027777,MGP_CASTEiJ_G0026450::ENSMUSG00000027777,MGP_NODShiLtJ_G0027101::ENSMUSG00000027777
ENSMUSG00000044293::ENSMUSG00000044293,MGP_129S1SvImJ_G0017916::ENSMUSG00000044293,MGP_C3HHeJ_G0017676::ENSMUSG00000044293,MGP_CASTEiJ_G0017239::ENSMUSG00000044293,MGP_NODShiLtJ_G0017780::ENSMUSG00000044293
ENSMUSG00000036647::ENSMUSG00000036647,MGP_129S1SvImJ_G0032784::ENSMUSG00000036647,MGP_C3HHeJ_G0032480::ENSMUSG00000036647,MGP_CASTEiJ_G0031811::ENSMUSG00000036647,MGP_NODShiLtJ_G0032592::ENSMUSG00000036647
ENSMUSG00000050188::ENSMUSG00000050188,MGP_129S1SvImJ_G0028770::ENSMUSG00000050188,MGP_C3HHeJ_G0028466::ENSMUSG00000050188,MGP_CASTEiJ_G0027899::ENSMUSG00000050188,MGP_NODShiLtJ_G0028574::ENSMUSG00000050188
ENSMUSG00000024223::ENSMUSG00000024223,MGP_129S1SvImJ_G0023442::ENSMUSG00000024223,MGP_C3HHeJ_G0023166::ENSMUSG00000024223,MGP_CASTEiJ_G0022667::ENSMUSG00000024223,MGP_NODShiLtJ_G0023259::ENSMUSG00000024223
ENSMUSG00000000632::ENSMUSG00000000632,MGP_129S1SvImJ_G0018758::ENSMUSG00000000632,MGP_C3HHeJ_G0018511::ENSMUSG00000000632,MGP_CASTEiJ_G0018065::ENSMUSG00000000632,MGP_NODShiLtJ_G0018606::ENSMUSG00000000632
ENSMUSG00000035606::ENSMUSG00000035606,MGP_129S1SvImJ_G0035186::ENSMUSG00000035606,MGP_C3HHeJ_G0034869::ENSMUSG00000035606,MGP_CASTEiJ_G0034181::ENSMUSG00000035606,MGP_NODShiLtJ_G0034986::ENSMUSG00000035606
ENSMUSG00000020155::ENSMUSG00000020155,MGP_129S1SvImJ_G0018148::ENSMUSG00000020155,MGP_C3HHeJ_G0017903::ENSMUSG00000020155,MGP_CASTEiJ_G0017467::ENSMUSG00000020155,MGP_NODShiLtJ_G0018004::ENSMUSG00000020155
ENSMUSG00000040624::ENSMUSG00000040624,MGP_129S1SvImJ_G0016974::ENSMUSG00000040624,MGP_C3HHeJ_G0016735::ENSMUSG00000040624,MGP_CASTEiJ_G0016317::ENSMUSG00000040624,MGP_NODShiLtJ_G0016841::ENSMUSG00000040624
ENSMUSG00000024899::ENSMUSG00000024899,MGP_129S1SvImJ_G0025041::ENSMUSG00000024899,MGP_C3HHeJ_G0024773::ENSMUSG00000024899,MGP_CASTEiJ_G0024244::ENSMUSG00000024899,MGP_NODShiLtJ_G0024872::ENSMUSG00000024899
ENSMUSG00000052922::ENSMUSG00000052922,MGP_129S1SvImJ_G0026791::ENSMUSG00000052922,MGP_C3HHeJ_G0026508::ENSMUSG00000052922,MGP_CASTEiJ_G0025970::ENSMUSG00000052922,MGP_NODShiLtJ_G0026611::ENSMUSG00000052922
ENSMUSG00000031467::ENSMUSG00000031467,MGP_129S1SvImJ_G0033405::ENSMUSG00000031467,MGP_C3HHeJ_G0033099::ENSMUSG00000031467,MGP_CASTEiJ_G0032421::ENSMUSG00000031467,MGP_NODShiLtJ_G0033211::ENSMUSG00000031467
ENSMUSG00000030587::ENSMUSG00000030587,MGP_129S1SvImJ_G0031979::ENSMUSG00000030587,MGP_C3HHeJ_G0031683::ENSMUSG00000030587,MGP_CASTEiJ_G0031017::ENSMUSG00000030587,MGP_NODShiLtJ_G0031793::ENSMUSG00000030587
ENSMUSG00000021139::ENSMUSG00000021139,MGP_129S1SvImJ_G0019899::ENSMUSG00000021139,MGP_C3HHeJ_G0019642::ENSMUSG00000021139,MGP_CASTEiJ_G0019192::ENSMUSG00000021139,MGP_NODShiLtJ_G0019753::ENSMUSG00000021139
ENSMUSG00000033278::ENSMUSG00000033278,MGP_129S1SvImJ_G0023990::ENSMUSG00000033278,MGP_C3HHeJ_G0023713::ENSMUSG00000033278,MGP_CASTEiJ_G0023195::ENSMUSG00000033278,MGP_NODShiLtJ_G0023811::ENSMUSG00000033278
ENSMUSG00000028842::ENSMUSG00000028842,MGP_129S1SvImJ_G0028780::ENSMUSG00000028842,MGP_C3HHeJ_G0028476::ENSMUSG00000028842,MGP_CASTEiJ_G0027909::ENSMUSG00000028842,MGP_NODShiLtJ_G0028584::ENSMUSG00000028842
ENSMUSG00000040354::ENSMUSG00000040354,MGP_129S1SvImJ_G0017817::ENSMUSG00000040354,MGP_C3HHeJ_G0017580::ENSMUSG00000040354,MGP_CASTEiJ_G0017140::ENSMUSG00000040354,MGP_NODShiLtJ_G0017678::ENSMUSG00000040354
