Mouse gene stable ID	Gene stable ID	Mouse homology type	Mouse C3H/HeJ gene stable ID	Mouse C3H/HeJ homology type	Mouse NOD/ShiLtJ gene stable ID	Mouse NOD/ShiLtJ homology type	Mouse CAST/EiJ gene stable ID	Mouse CAST/EiJ homology type
ENSMUSG00000030636	MGP_129S1SvImJ_G0007229	ortholog_one2one	MGP_C3HHeJ_G0007148	ortholog_one2one	MGP_NODShiLtJ_G0007151	ortholog_one2one	MGP_CASTEiJ_G0007050	ortholog_one2one
ENSMUSG00000097783	MGP_129S1SvImJ_G0007393	ortholog_one2one	MGP_C3HHeJ_G0007311	ortholog_one2one	MGP_NODShiLtJ_G0007314	ortholog_one2one	MGP_CASTEiJ_G0007214	ortholog_one2one
ENSMUSG00000085389	MGP_129S1SvImJ_G0006519	ortholog_one2one	MGP_C3HHeJ_G0006435	ortholog_one2one	MGP_NODShiLtJ_G0006449	ortholog_one2one	MGP_CASTEiJ_G0006367	ortholog_one2one
ENSMUSG00000097135	MGP_129S1SvImJ_G0006699	ortholog_one2one	MGP_C3HHeJ_G0006614	ortholog_one2one	MGP_NODShiLtJ_G0006624	ortholog_one2one	MGP_CASTEiJ_G0006537	ortholog_one2one
ENSMUSG00000078531	MGP_129S1SvImJ_G0006524	ortholog_one2one	MGP_C3HHeJ_G0006440	ortholog_one2one	MGP_NODShiLtJ_G0006454	ortholog_one2one	MGP_CASTEiJ_G0006372	ortholog_one2one
ENSMUSG00000105618	MGP_129S1SvImJ_G0006735	ortholog_one2one	MGP_C3HHeJ_G0006650	ortholog_one2one	MGP_NODShiLtJ_G0006660	ortholog_one2one	MGP_CASTEiJ_G0006573	ortholog_one2one
ENSMUSG00000097220	MGP_129S1SvImJ_G0007248	ortholog_one2one	MGP_C3HHeJ_G0007167	ortholog_one2one	MGP_NODShiLtJ_G0007170	ortholog_one2one	MGP_CASTEiJ_G0007069	ortholog_one2one
ENSMUSG00000104306	MGP_129S1SvImJ_G0005028	ortholog_one2one	MGP_C3HHeJ_G0004940	ortholog_one2one	MGP_NODShiLtJ_G0004955	ortholog_one2one	MGP_CASTEiJ_G0004888	ortholog_one2one
ENSMUSG00000105208	MGP_129S1SvImJ_G0006133	ortholog_one2one	MGP_C3HHeJ_G0006050	ortholog_one2one	MGP_NODShiLtJ_G0006068	ortholog_one2one		
ENSMUSG00000085863	MGP_129S1SvImJ_G0006474	ortholog_one2one	MGP_C3HHeJ_G0006390	ortholog_one2one	MGP_NODShiLtJ_G0006404	ortholog_one2one	MGP_CASTEiJ_G0006323	ortholog_one2one
ENSMUSG00000085345	MGP_129S1SvImJ_G0006790	ortholog_one2one	MGP_C3HHeJ_G0006705	ortholog_one2one	MGP_NODShiLtJ_G0006714	ortholog_one2one	MGP_CASTEiJ_G0006628	ortholog_one2one
ENSMUSG00000097842	MGP_129S1SvImJ_G0007120	ortholog_one2one	MGP_C3HHeJ_G0007038	ortholog_one2one	MGP_NODShiLtJ_G0007043	ortholog_one2one	MGP_CASTEiJ_G0006942	ortholog_one2one
ENSMUSG00000090732	MGP_129S1SvImJ_G0007343	ortholog_one2one	MGP_C3HHeJ_G0007262	ortholog_one2one	MGP_NODShiLtJ_G0007264	ortholog_one2one	MGP_CASTEiJ_G0007164	ortholog_one2one
ENSMUSG00000097590	MGP_129S1SvImJ_G0005634	ortholog_one2one	MGP_C3HHeJ_G0005548	ortholog_one2one	MGP_NODShiLtJ_G0005565	ortholog_one2one	MGP_CASTEiJ_G0005492	ortholog_one2one
ENSMUSG00000107855	MGP_129S1SvImJ_G0006984	ortholog_one2one	MGP_C3HHeJ_G0006969	ortholog_one2one	MGP_NODShiLtJ_G0006905	ortholog_one2one	MGP_CASTEiJ_G0006815	ortholog_one2one
ENSMUSG00000106255	MGP_129S1SvImJ_G0006719	ortholog_one2one	MGP_C3HHeJ_G0006634	ortholog_one2one	MGP_NODShiLtJ_G0006644	ortholog_one2one	MGP_CASTEiJ_G0006557	ortholog_one2one
ENSMUSG00000097281	MGP_129S1SvImJ_G0005020	ortholog_one2one	MGP_C3HHeJ_G0004932	ortholog_one2one	MGP_NODShiLtJ_G0004947	ortholog_one2one	MGP_CASTEiJ_G0004880	ortholog_one2one
ENSMUSG00000105917	MGP_129S1SvImJ_G0006339	ortholog_one2one	MGP_C3HHeJ_G0006257	ortholog_one2one	MGP_NODShiLtJ_G0006273	ortholog_one2one	MGP_CASTEiJ_G0006191	ortholog_one2one
ENSMUSG00000108569	MGP_129S1SvImJ_G0007291	ortholog_one2one	MGP_C3HHeJ_G0007210	ortholog_one2one	MGP_NODShiLtJ_G0007213	ortholog_one2one	MGP_CASTEiJ_G0007112	ortholog_one2one
ENSMUSG00000107929	MGP_129S1SvImJ_G0007027	ortholog_one2one	MGP_C3HHeJ_G0006926	ortholog_one2one	MGP_NODShiLtJ_G0006949	ortholog_one2one	MGP_CASTEiJ_G0006854	ortholog_one2one
ENSMUSG00000085693	MGP_129S1SvImJ_G0005884	ortholog_one2one	MGP_C3HHeJ_G0005803	ortholog_one2one	MGP_NODShiLtJ_G0005822	ortholog_one2one	MGP_CASTEiJ_G0005739	ortholog_one2one
ENSMUSG00000105593	MGP_129S1SvImJ_G0006810	ortholog_one2one	MGP_C3HHeJ_G0006725	ortholog_one2one	MGP_NODShiLtJ_G0006734	ortholog_one2one	MGP_CASTEiJ_G0006648	ortholog_one2one
ENSMUSG00000099747	MGP_129S1SvImJ_G0005744	ortholog_one2one	MGP_C3HHeJ_G0005659	ortholog_one2one	MGP_NODShiLtJ_G0005676	ortholog_one2one	MGP_CASTEiJ_G0005601	ortholog_one2one
ENSMUSG00000060380	MGP_129S1SvImJ_G0007430	ortholog_one2one	MGP_C3HHeJ_G0007347	ortholog_one2one	MGP_NODShiLtJ_G0007351	ortholog_one2one	MGP_CASTEiJ_G0007251	ortholog_one2one
ENSMUSG00000107815	MGP_129S1SvImJ_G0007111	ortholog_one2one	MGP_C3HHeJ_G0007028	ortholog_one2one	MGP_NODShiLtJ_G0007034	ortholog_one2one	MGP_CASTEiJ_G0006934	ortholog_one2one
ENSMUSG00000093771	MGP_129S1SvImJ_G0006661	ortholog_one2one	MGP_C3HHeJ_G0006577	ortholog_one2one	MGP_NODShiLtJ_G0006586	ortholog_one2one	MGP_CASTEiJ_G0006499	ortholog_one2one
ENSMUSG00000085772	MGP_129S1SvImJ_G0005199	ortholog_one2one	MGP_C3HHeJ_G0005113	ortholog_one2one	MGP_NODShiLtJ_G0005128	ortholog_one2one	MGP_CASTEiJ_G0005060	ortholog_one2one
ENSMUSG00000085354	MGP_129S1SvImJ_G0007294	ortholog_one2one	MGP_C3HHeJ_G0007213	ortholog_one2one	MGP_NODShiLtJ_G0007216	ortholog_one2one	MGP_CASTEiJ_G0007115	ortholog_one2one
	MGP_129S1SvImJ_G0005123							
ENSMUSG00000087647	MGP_129S1SvImJ_G0006865	ortholog_one2one	MGP_C3HHeJ_G0006780	ortholog_one2one	MGP_NODShiLtJ_G0006787	ortholog_one2one	MGP_CASTEiJ_G0006699	ortholog_one2one
ENSMUSG00000086138	MGP_129S1SvImJ_G0006508	ortholog_one2one	MGP_C3HHeJ_G0006424	ortholog_one2one	MGP_NODShiLtJ_G0006438	ortholog_one2one	MGP_CASTEiJ_G0006356	ortholog_one2one
ENSMUSG00000085951	MGP_129S1SvImJ_G0005212	ortholog_one2one	MGP_C3HHeJ_G0005126	ortholog_one2one	MGP_NODShiLtJ_G0005141	ortholog_one2one	MGP_CASTEiJ_G0005073	ortholog_one2one
ENSMUSG00000073535	MGP_129S1SvImJ_G0005007	ortholog_one2one	MGP_C3HHeJ_G0004919	ortholog_one2one	MGP_NODShiLtJ_G0004934	ortholog_one2one	MGP_CASTEiJ_G0004867	ortholog_one2one
ENSMUSG00000097582	MGP_129S1SvImJ_G0005491	ortholog_one2one	MGP_C3HHeJ_G0005406	ortholog_one2one	MGP_NODShiLtJ_G0005420	ortholog_one2one	MGP_CASTEiJ_G0005348	ortholog_one2one
ENSMUSG00000097614	MGP_129S1SvImJ_G0005327	ortholog_one2one	MGP_C3HHeJ_G0005241	ortholog_one2one	MGP_NODShiLtJ_G0005255	ortholog_one2one	MGP_CASTEiJ_G0005188	ortholog_one2one
ENSMUSG00000086485	MGP_129S1SvImJ_G0005708	ortholog_one2one	MGP_C3HHeJ_G0005624	ortholog_one2one	MGP_NODShiLtJ_G0005641	ortholog_one2one	MGP_CASTEiJ_G0005566	ortholog_one2one
ENSMUSG00000097927	MGP_129S1SvImJ_G0005570	ortholog_one2one	MGP_C3HHeJ_G0005483	ortholog_one2one	MGP_NODShiLtJ_G0005500	ortholog_one2one	MGP_CASTEiJ_G0005426	ortholog_one2one
ENSMUSG00000086593	MGP_129S1SvImJ_G0005018	ortholog_one2one	MGP_C3HHeJ_G0004930	ortholog_one2one	MGP_NODShiLtJ_G0004945	ortholog_one2one	MGP_CASTEiJ_G0004878	ortholog_one2one
ENSMUSG00000085991	MGP_129S1SvImJ_G0005274	ortholog_one2one	MGP_C3HHeJ_G0005188	ortholog_one2one	MGP_NODShiLtJ_G0005203	ortholog_one2one	MGP_CASTEiJ_G0005135	ortholog_one2one
ENSMUSG00000084850	MGP_129S1SvImJ_G0005198	ortholog_one2one	MGP_C3HHeJ_G0005112	ortholog_one2one	MGP_NODShiLtJ_G0005127	ortholog_one2one	MGP_CASTEiJ_G0005059	ortholog_one2one
ENSMUSG00000087682	MGP_129S1SvImJ_G0006010	ortholog_one2one	MGP_C3HHeJ_G0005929	ortholog_one2one	MGP_NODShiLtJ_G0005946	ortholog_one2one	MGP_CASTEiJ_G0005864	ortholog_one2one
	MGP_129S1SvImJ_G0006573							
ENSMUSG00000101224	MGP_129S1SvImJ_G0004947	ortholog_one2one	MGP_C3HHeJ_G0004859	ortholog_one2one	MGP_NODShiLtJ_G0004874	ortholog_one2one	MGP_CASTEiJ_G0004808	ortholog_one2one
ENSMUSG00000085805	MGP_129S1SvImJ_G0006574	ortholog_one2one	MGP_C3HHeJ_G0007223	ortholog_one2one				
ENSMUSG00000100998	MGP_129S1SvImJ_G0006491	ortholog_one2one	MGP_C3HHeJ_G0006407	ortholog_one2one	MGP_NODShiLtJ_G0006421	ortholog_one2one	MGP_CASTEiJ_G0006339	ortholog_one2one
ENSMUSG00000102531	MGP_129S1SvImJ_G0004799	ortholog_one2one	MGP_C3HHeJ_G0004710	ortholog_one2one	MGP_NODShiLtJ_G0004726	ortholog_one2one	MGP_CASTEiJ_G0004666	ortholog_one2one
ENSMUSG00000108213	MGP_129S1SvImJ_G0006987	ortholog_one2one	MGP_C3HHeJ_G0006966	ortholog_one2one	MGP_NODShiLtJ_G0006908	ortholog_one2one	MGP_CASTEiJ_G0006818	ortholog_one2one
ENSMUSG00000101714	MGP_129S1SvImJ_G0004798	ortholog_one2one	MGP_C3HHeJ_G0004709	ortholog_one2one	MGP_NODShiLtJ_G0004725	ortholog_one2one	MGP_CASTEiJ_G0004665	ortholog_one2one
ENSMUSG00000108676	MGP_129S1SvImJ_G0007268	ortholog_one2one	MGP_C3HHeJ_G0007187	ortholog_one2one	MGP_NODShiLtJ_G0007190	ortholog_one2one	MGP_CASTEiJ_G0007089	ortholog_one2one
ENSMUSG00000100658	MGP_129S1SvImJ_G0004968	ortholog_one2one	MGP_C3HHeJ_G0004880	ortholog_one2one	MGP_NODShiLtJ_G0004895	ortholog_one2one	MGP_CASTEiJ_G0004829	ortholog_one2one
ENSMUSG00000096990	MGP_129S1SvImJ_G0007148	ortholog_one2one	MGP_C3HHeJ_G0007066	ortholog_one2one	MGP_NODShiLtJ_G0007071	ortholog_one2one	MGP_CASTEiJ_G0006970	ortholog_one2one
ENSMUSG00000085167	MGP_129S1SvImJ_G0005186	ortholog_one2one	MGP_C3HHeJ_G0005100	ortholog_one2one	MGP_NODShiLtJ_G0005115	ortholog_one2one	MGP_CASTEiJ_G0005047	ortholog_one2one
ENSMUSG00000097018	MGP_129S1SvImJ_G0006736	ortholog_one2one	MGP_C3HHeJ_G0006651	ortholog_one2one	MGP_NODShiLtJ_G0006661	ortholog_one2one	MGP_CASTEiJ_G0006574	ortholog_one2one
	MGP_129S1SvImJ_G0007323							
ENSMUSG00000097303	MGP_129S1SvImJ_G0005554	ortholog_one2one	MGP_C3HHeJ_G0005467	ortholog_one2one	MGP_NODShiLtJ_G0005483	ortholog_one2one	MGP_CASTEiJ_G0005410	ortholog_one2one
ENSMUSG00000103103	MGP_129S1SvImJ_G0007507	ortholog_one2one	MGP_C3HHeJ_G0007424	ortholog_one2one	MGP_NODShiLtJ_G0007428	ortholog_one2one	MGP_CASTEiJ_G0007327	ortholog_one2one
ENSMUSG00000097243	MGP_129S1SvImJ_G0005565	ortholog_one2one	MGP_C3HHeJ_G0005478	ortholog_one2one	MGP_NODShiLtJ_G0005495	ortholog_one2one	MGP_CASTEiJ_G0005421	ortholog_one2one
ENSMUSG00000085329	MGP_129S1SvImJ_G0005683	ortholog_one2one	MGP_C3HHeJ_G0005597	ortholog_one2one	MGP_NODShiLtJ_G0005614	ortholog_one2one	MGP_CASTEiJ_G0005540	ortholog_one2one
ENSMUSG00000084799	MGP_129S1SvImJ_G0004851	ortholog_one2one	MGP_C3HHeJ_G0004762	ortholog_one2one	MGP_NODShiLtJ_G0004777	ortholog_one2one	MGP_CASTEiJ_G0004715	ortholog_one2one
ENSMUSG00000041789	MGP_129S1SvImJ_G0005795	ortholog_one2one	MGP_C3HHeJ_G0005711	ortholog_one2one	MGP_NODShiLtJ_G0005729	ortholog_one2one	MGP_CASTEiJ_G0005652	ortholog_one2one
ENSMUSG00000097246	MGP_129S1SvImJ_G0007124	ortholog_one2one	MGP_C3HHeJ_G0007042	ortholog_one2one	MGP_NODShiLtJ_G0007047	ortholog_one2one		
ENSMUSG00000055370	MGP_129S1SvImJ_G0005661	ortholog_one2one	MGP_C3HHeJ_G0005575	ortholog_one2one	MGP_NODShiLtJ_G0005592	ortholog_one2one	MGP_CASTEiJ_G0005519	ortholog_one2one
ENSMUSG00000104461	MGP_129S1SvImJ_G0005070	ortholog_one2one	MGP_C3HHeJ_G0004983	ortholog_one2one	MGP_NODShiLtJ_G0004996	ortholog_one2one	MGP_CASTEiJ_G0004930	ortholog_one2one
ENSMUSG00000108084	MGP_129S1SvImJ_G0006952	ortholog_one2one	MGP_C3HHeJ_G0006868	ortholog_one2one	MGP_NODShiLtJ_G0006873	ortholog_one2one	MGP_CASTEiJ_G0006784	ortholog_one2one
ENSMUSG00000097261	MGP_129S1SvImJ_G0005071	ortholog_one2one	MGP_C3HHeJ_G0004984	ortholog_one2one	MGP_NODShiLtJ_G0004997	ortholog_one2one	MGP_CASTEiJ_G0004931	ortholog_one2one
ENSMUSG00000042579	MGP_129S1SvImJ_G0006235	ortholog_one2one	MGP_C3HHeJ_G0006153	ortholog_one2one	MGP_NODShiLtJ_G0006171	ortholog_one2one	MGP_CASTEiJ_G0006087	ortholog_one2one
ENSMUSG00000101791	MGP_129S1SvImJ_G0004956	ortholog_one2one	MGP_C3HHeJ_G0004868	ortholog_one2one	MGP_NODShiLtJ_G0004883	ortholog_one2one	MGP_CASTEiJ_G0004817	ortholog_one2one
ENSMUSG00000107637	MGP_129S1SvImJ_G0007054	ortholog_one2one	MGP_C3HHeJ_G0006898	ortholog_one2one	MGP_NODShiLtJ_G0006976	ortholog_one2one	MGP_CASTEiJ_G0006881	ortholog_one2one
ENSMUSG00000097384	MGP_129S1SvImJ_G0007392	ortholog_one2one	MGP_C3HHeJ_G0007310	ortholog_one2one	MGP_NODShiLtJ_G0007313	ortholog_one2one	MGP_CASTEiJ_G0007213	ortholog_one2one
ENSMUSG00000087292	MGP_129S1SvImJ_G0006771	ortholog_one2one	MGP_C3HHeJ_G0006686	ortholog_one2one	MGP_NODShiLtJ_G0006696	ortholog_one2one	MGP_CASTEiJ_G0006609	ortholog_one2one
ENSMUSG00000099933	MGP_129S1SvImJ_G0005003	ortholog_one2one	MGP_C3HHeJ_G0004915	ortholog_one2one	MGP_NODShiLtJ_G0004930	ortholog_one2one	MGP_CASTEiJ_G0004863	ortholog_one2one
ENSMUSG00000106745	MGP_129S1SvImJ_G0006784	ortholog_one2one	MGP_C3HHeJ_G0006699	ortholog_one2one	MGP_NODShiLtJ_G0006708	ortholog_one2one	MGP_CASTEiJ_G0006622	ortholog_one2one
ENSMUSG00000090936	MGP_129S1SvImJ_G0005727	ortholog_one2one	MGP_C3HHeJ_G0005642	ortholog_one2one	MGP_NODShiLtJ_G0005660	ortholog_one2one	MGP_CASTEiJ_G0005585	ortholog_one2one
ENSMUSG00000084891	MGP_129S1SvImJ_G0006512	ortholog_one2one	MGP_C3HHeJ_G0006428	ortholog_one2one	MGP_NODShiLtJ_G0006442	ortholog_one2one	MGP_CASTEiJ_G0006360	ortholog_one2one
ENSMUSG00000097522	MGP_129S1SvImJ_G0005477	ortholog_one2one	MGP_C3HHeJ_G0005392	ortholog_one2one	MGP_NODShiLtJ_G0005406	ortholog_one2one	MGP_CASTEiJ_G0005334	ortholog_one2one
ENSMUSG00000087085	MGP_129S1SvImJ_G0005189	ortholog_one2one	MGP_C3HHeJ_G0005103	ortholog_one2one	MGP_NODShiLtJ_G0005118	ortholog_one2one	MGP_CASTEiJ_G0005050	ortholog_one2one
ENSMUSG00000086095	MGP_129S1SvImJ_G0005771	ortholog_one2one	MGP_C3HHeJ_G0005687	ortholog_one2one	MGP_NODShiLtJ_G0005705	ortholog_one2one	MGP_CASTEiJ_G0005629	ortholog_one2one
ENSMUSG00000099669	MGP_129S1SvImJ_G0004932	ortholog_one2one	MGP_C3HHeJ_G0004844	ortholog_one2one	MGP_NODShiLtJ_G0004859	ortholog_one2one	MGP_CASTEiJ_G0004793	ortholog_one2one
ENSMUSG00000085015	MGP_129S1SvImJ_G0005943	ortholog_one2one	MGP_C3HHeJ_G0005862	ortholog_one2one	MGP_NODShiLtJ_G0005881	ortholog_one2one	MGP_CASTEiJ_G0005798	ortholog_one2one
ENSMUSG00000107013	MGP_129S1SvImJ_G0007066	ortholog_one2one	MGP_C3HHeJ_G0006982	ortholog_one2one	MGP_NODShiLtJ_G0006988	ortholog_one2one	MGP_CASTEiJ_G0006893	ortholog_one2one
ENSMUSG00000108504	MGP_129S1SvImJ_G0007285	ortholog_one2one	MGP_C3HHeJ_G0007204	ortholog_one2one	MGP_NODShiLtJ_G0007207	ortholog_one2one	MGP_CASTEiJ_G0007106	ortholog_one2one
ENSMUSG00000108274	MGP_129S1SvImJ_G0007034	ortholog_one2one	MGP_C3HHeJ_G0006918	ortholog_one2one	MGP_NODShiLtJ_G0006956	ortholog_one2one	MGP_CASTEiJ_G0006861	ortholog_one2one
ENSMUSG00000084869	MGP_129S1SvImJ_G0006527	ortholog_one2one	MGP_C3HHeJ_G0006443	ortholog_one2one	MGP_NODShiLtJ_G0006457	ortholog_one2one	MGP_CASTEiJ_G0006375	ortholog_one2one
ENSMUSG00000103116	MGP_129S1SvImJ_G0006118	ortholog_one2one	MGP_C3HHeJ_G0006035	ortholog_one2one	MGP_NODShiLtJ_G0006053	ortholog_one2one	MGP_CASTEiJ_G0005971	ortholog_one2one
ENSMUSG00000097639	MGP_129S1SvImJ_G0006175	ortholog_one2one	MGP_C3HHeJ_G0006093	ortholog_one2one	MGP_NODShiLtJ_G0006111	ortholog_one2one	MGP_CASTEiJ_G0006028	ortholog_one2one
	MGP_129S1SvImJ_G0007373							
ENSMUSG00000108373	MGP_129S1SvImJ_G0007224	ortholog_one2one	MGP_C3HHeJ_G0007143	ortholog_one2one	MGP_NODShiLtJ_G0007146	ortholog_one2one	MGP_CASTEiJ_G0007045	ortholog_one2one
ENSMUSG00000099370	MGP_129S1SvImJ_G0006211	ortholog_one2one	MGP_C3HHeJ_G0006129	ortholog_one2one	MGP_NODShiLtJ_G0006147	ortholog_one2one	MGP_CASTEiJ_G0006063	ortholog_one2one
ENSMUSG00000100213	MGP_129S1SvImJ_G0004821	ortholog_one2one	MGP_C3HHeJ_G0004732	ortholog_one2one	MGP_NODShiLtJ_G0004748	ortholog_one2one	MGP_CASTEiJ_G0004688	ortholog_one2one
ENSMUSG00000107879	MGP_129S1SvImJ_G0007070	ortholog_one2one	MGP_C3HHeJ_G0006986	ortholog_one2one	MGP_NODShiLtJ_G0006992	ortholog_one2one		
ENSMUSG00000103695	MGP_129S1SvImJ_G0006220	ortholog_one2one	MGP_C3HHeJ_G0006138	ortholog_one2one	MGP_NODShiLtJ_G0006156	ortholog_one2one	MGP_CASTEiJ_G0006072	ortholog_one2one
ENSMUSG00000108094	MGP_129S1SvImJ_G0007090	ortholog_one2one	MGP_C3HHeJ_G0007007	ortholog_one2one	MGP_NODShiLtJ_G0007012	ortholog_one2one	MGP_CASTEiJ_G0006913	ortholog_one2one
ENSMUSG00000100459	MGP_129S1SvImJ_G0004987	ortholog_one2one	MGP_C3HHeJ_G0004899	ortholog_one2one	MGP_NODShiLtJ_G0004914	ortholog_one2one	MGP_CASTEiJ_G0004848	ortholog_one2one
ENSMUSG00000086185	MGP_129S1SvImJ_G0007541	ortholog_one2one	MGP_C3HHeJ_G0007460	ortholog_one2one	MGP_NODShiLtJ_G0007464	ortholog_one2one	MGP_CASTEiJ_G0007363	ortholog_one2one
ENSMUSG00000099574	MGP_129S1SvImJ_G0004959	ortholog_one2one	MGP_C3HHeJ_G0004871	ortholog_one2one	MGP_NODShiLtJ_G0004886	ortholog_one2one	MGP_CASTEiJ_G0004820	ortholog_one2one
ENSMUSG00000104861	MGP_129S1SvImJ_G0005358	ortholog_one2one	MGP_C3HHeJ_G0005272	ortholog_one2one	MGP_NODShiLtJ_G0005286	ortholog_one2one	MGP_CASTEiJ_G0005219	ortholog_one2one
ENSMUSG00000107619	MGP_129S1SvImJ_G0006957	ortholog_one2one	MGP_C3HHeJ_G0006873	ortholog_one2one	MGP_NODShiLtJ_G0006878	ortholog_one2one	MGP_CASTEiJ_G0006789	ortholog_one2one
ENSMUSG00000087681	MGP_129S1SvImJ_G0005922	ortholog_one2one	MGP_C3HHeJ_G0005841	ortholog_one2one	MGP_NODShiLtJ_G0005860	ortholog_one2one	MGP_CASTEiJ_G0005777	ortholog_one2one
ENSMUSG00000096977	MGP_129S1SvImJ_G0005104	ortholog_one2one	MGP_C3HHeJ_G0005017	ortholog_one2one	MGP_NODShiLtJ_G0005031	ortholog_one2one	MGP_CASTEiJ_G0004964	ortholog_one2one
ENSMUSG00000097355	MGP_129S1SvImJ_G0007419	ortholog_one2one	MGP_C3HHeJ_G0007337	ortholog_one2one	MGP_NODShiLtJ_G0007340	ortholog_one2one	MGP_CASTEiJ_G0007240	ortholog_one2one
ENSMUSG00000097353	MGP_129S1SvImJ_G0005164	ortholog_one2one	MGP_C3HHeJ_G0005076	ortholog_one2one	MGP_NODShiLtJ_G0005091	ortholog_one2one	MGP_CASTEiJ_G0005024	ortholog_one2one
ENSMUSG00000044689	MGP_129S1SvImJ_G0004854	ortholog_one2one	MGP_C3HHeJ_G0004765	ortholog_one2one	MGP_NODShiLtJ_G0004780	ortholog_one2one	MGP_CASTEiJ_G0004718	ortholog_one2one
