piCid	piCnum	piCid_orth	mm10	cast	c3h	129	nod	AllStrains
7-qD2-24830__piC84	piC84	7-qD2-24830__piC84	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
7-qD2-11976__piC85	piC85	7-qD2-11976__piC85	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
7-qD2-40__piC86	piC86	7-qD2-40__piC86	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Rnf169__piC87	piC87	pi-Rnf169__piC87	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
7-qF3-3125__piC88	piC88	7-qF3-3125__piC88	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
7-qF3-246__piC89	piC89	7-qF3-246__piC89	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Fam53b__piC90	piC90	pi-Fam53b__piC90	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Tacc1__piC91	piC91	pi-Tacc1__piC91	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
8-qA2-343__piC92	piC92	8-qA2-343__piC92	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
8-qA4-332__piC93	piC93	8-qA4-332__piC93	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Tktl2__piC95	piC95	pi-Tktl2__piC95	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
8-qC5-8200__piC97	piC97	8-qC5-8200__piC97	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Cmtm4__piC99	piC99	pi-Cmtm4__piC99	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Atxn1l__piC100	piC100	pi-Atxn1l__piC100	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
8-qE1-3748__piC101	piC101	8-qE1-3748__piC101	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Ddx19b__piC102	piC102	pi-Ddx19b__piC102	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Gan__piC103	piC103	pi-Gan__piC103	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Ankrd11__piC104	piC104	pi-Ankrd11__piC104	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Exoc8__piC105	piC105	pi-Exoc8__piC105	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Igsf9b__piC107	piC107	pi-Igsf9b__piC107	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Arhgap20__piC110	piC110	pi-Arhgap20__piC110	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
9-qA5.3-24188__piC111	piC111	9-qA5.3-24188__piC111	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
9-qA5.3-1495__piC112	piC112	9-qA5.3-1495__piC112	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Rplp1__piC113	piC113	pi-Rplp1__piC113	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
9-qC-31469__piC114	piC114	9-qC-31469__piC114	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Rad54l2__piC116	piC116	pi-Rad54l2__piC116	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Ip6k1__piC117	piC117	pi-Ip6k1__piC117	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Trim71__piC118	piC118	pi-Trim71__piC118	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Acvr2b__piC119	piC119	pi-Acvr2b__piC119	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Exog__piC120	piC120	pi-Exog__piC120	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
9-qF4-150__piC121	piC121	9-qF4-150__piC121	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
10-qA3-2592__piC122	piC122	10-qA3-2592__piC122	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
10-qA3-143__piC123	piC123	10-qA3-143__piC123	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Foxo3__piC124	piC124	pi-Foxo3__piC124	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Eif4ebp2__piC125	piC125	pi-Eif4ebp2__piC125	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
10-qB4-6488__piC126	piC126	10-qB4-6488__piC126	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
10-qB5.1-5404__piC127	piC127	10-qB5.1-5404__piC127	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
10-qB5.1-221__piC128	piC128	10-qB5.1-221__piC128	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Ipmk__piC129	piC129	pi-Ipmk__piC129	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
10-qC1-12816__piC130	piC130	10-qC1-12816__piC130	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Zfp280b__piC131	piC131	pi-Zfp280b__piC131	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-D10Wsu102e__piC132	piC132	pi-D10Wsu102e__piC132	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
10-qC1-117__piC133	piC133	10-qC1-117__piC133	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
10-qC1-2617__piC134	piC134	10-qC1-2617__piC134	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
10-qC2-545__piC137	piC137	10-qC2-545__piC137	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Ctdsp2__piC138	piC138	pi-Ctdsp2__piC138	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Tmem194__piC139	piC139	pi-Tmem194__piC139	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Ccdc117__piC140	piC140	pi-Ccdc117__piC140	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
11-qB1.3-590__piC141	piC141	11-qB1.3-590__piC141	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Smcr8__piC142	piC142	pi-Smcr8__piC142	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Lsmd1__piC143	piC143	pi-Lsmd1__piC143	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Slc43a2__piC144	piC144	pi-Slc43a2__piC144	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Rab11fip4__piC145	piC145	pi-Rab11fip4__piC145	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Zfp652__piC146	piC146	pi-Zfp652__piC146	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Igf2bp1__piC147	piC147	pi-Igf2bp1__piC147	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Socs7__piC148	piC148	pi-Socs7__piC148	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Mllt6__piC149	piC149	pi-Mllt6__piC149	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Wipf2__piC150	piC150	pi-Wipf2__piC150	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Klhl11__piC151	piC151	pi-Klhl11__piC151	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
11-qE1-9443__piC152	piC152	11-qE1-9443__piC152	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Dcaf7__piC153	piC153	pi-Dcaf7__piC153	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
11-qE1-3997__piC154	piC154	11-qE1-3997__piC154	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
11-qE1-252__piC155	piC155	11-qE1-252__piC155	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Mafg__piC156	piC156	pi-Mafg__piC156	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Dnmt3a__piC157	piC157	pi-Dnmt3a__piC157	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Map3k9__piC158	piC158	pi-Map3k9__piC158	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
12-qE-23911__piC159	piC159	12-qE-23911__piC159	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
12-qE-7089__piC160	piC160	12-qE-7089__piC160	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
13-qA3.1-213__piC161	piC161	13-qA3.1-213__piC161	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
13-qA3.1-355__piC163	piC163	13-qA3.1-355__piC163	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Mrs2__piC164	piC164	pi-Mrs2__piC164	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
13-qA5-967__piC169	piC169	13-qA5-967__piC169	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
13-qB1-1517__piC170	piC170	13-qB1-1517__piC170	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Zfp346__piC171	piC171	pi-Zfp346__piC171	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Nsd1__piC172	piC172	pi-Nsd1__piC172	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
14-qA3-19970__piC174	piC174	14-qA3-19970__piC174	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Il17rd__piC177	piC177	pi-Il17rd__piC177	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
14-qC1-1010__piC179	piC179	14-qC1-1010__piC179	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Hmbox1__piC180	piC180	pi-Hmbox1__piC180	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
15-qD1-17920__piC181	piC181	15-qD1-17920__piC181	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
15-qD1-4001__piC182	piC182	15-qD1-4001__piC182	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Eif2c2__piC183	piC183	pi-Eif2c2__piC183	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-1700016M24Rik__piC184	piC184	pi-1700016M24Rik__piC184	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
15-qD3-14639__piC185	piC185	15-qD3-14639__piC185	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
15-qE1-8387__piC186	piC186	15-qE1-8387__piC186	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
15-qE1-1119__piC187	piC187	15-qE1-1119__piC187	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Tef__piC188	piC188	pi-Tef__piC188	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
15-qE1-3710__piC189	piC189	15-qE1-3710__piC189	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Mlc1__piC190	piC190	pi-Mlc1__piC190	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Shank3__piC191	piC191	pi-Shank3__piC191	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Pou6f1__piC192	piC192	pi-Pou6f1__piC192	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Cbx5__piC193	piC193	pi-Cbx5__piC193	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Ppm1f__piC194	piC194	pi-Ppm1f__piC194	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Hic2__piC195	piC195	pi-Hic2__piC195	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Crkl__piC196	piC196	pi-Crkl__piC196	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Lpp__piC197	piC197	pi-Lpp__piC197	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Zdhhc23__piC198	piC198	pi-Zdhhc23__piC198	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Cramp1l__piC200	piC200	pi-Cramp1l__piC200	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
17-qA3.3-27363__piC201	piC201	17-qA3.3-27363__piC201	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
17-qA3.3-26735__piC202	piC202	17-qA3.3-26735__piC202	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Uhrf1bp1__piC203	piC203	pi-Uhrf1bp1__piC203	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
17-qC-935__piC204	piC204	17-qC-935__piC204	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
17-qC-59__piC205	piC205	17-qC-59__piC205	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
17-qE1.1-7037__piC206	piC206	17-qE1.1-7037__piC206	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Cdc42ep3__piC207	piC207	pi-Cdc42ep3__piC207	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Kcng3__piC208	piC208	pi-Kcng3__piC208	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Ndst1__piC209	piC209	pi-Ndst1__piC209	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
18-qE1-36451__piC210	piC210	18-qE1-36451__piC210	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
18-qE1-1295__piC211	piC211	18-qE1-1295__piC211	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Fth1__piC212	piC212	pi-Fth1__piC212	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
19-qC2-1361__piC213	piC213	19-qC2-1361__piC213	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Hif1an__piC214	piC214	pi-Hif1an__piC214	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
