piCid	piCnum	piCid_orth	mm10	cast	c3h	129	nod	AllStrains
PTmerged107	PTmerged107	PTmerged107	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged108	PTmerged108	PTmerged108	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged109	PTmerged109	PTmerged109	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged110	PTmerged110	PTmerged110	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged111	PTmerged111	PTmerged111	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged112	PTmerged112	PTmerged112	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged113	PTmerged113	PTmerged113	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged114	PTmerged114	PTmerged114	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged115	PTmerged115	PTmerged115	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged116	PTmerged116	PTmerged116	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged117	PTmerged117	PTmerged117	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged118	PTmerged118	PTmerged118	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged119	PTmerged119	PTmerged119	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged120	PTmerged120	PTmerged120	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged121	PTmerged121	PTmerged121	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged122	PTmerged122	PTmerged122	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged123	PTmerged123	PTmerged123	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged124	PTmerged124	PTmerged124	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged125	PTmerged125	PTmerged125	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged126	PTmerged126	PTmerged126	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged127	PTmerged127	PTmerged127	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged128	PTmerged128	PTmerged128	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged129	PTmerged129	PTmerged129	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged130	PTmerged130	PTmerged130	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged131	PTmerged131	PTmerged131	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged132	PTmerged132	PTmerged132	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged133	PTmerged133	PTmerged133	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged134	PTmerged134	PTmerged134	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged135	PTmerged135	PTmerged135	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged136	PTmerged136	PTmerged136	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged137	PTmerged137	PTmerged137	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged138	PTmerged138	PTmerged138	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged139	PTmerged139	PTmerged139	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged140	PTmerged140	PTmerged140	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged141	PTmerged141	PTmerged141	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged142	PTmerged142	PTmerged142	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged143	PTmerged143	PTmerged143	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged144	PTmerged144	PTmerged144	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged145	PTmerged145	PTmerged145	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged146	PTmerged146	PTmerged146	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged147	PTmerged147	PTmerged147	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged148	PTmerged148	PTmerged148	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged149	PTmerged149	PTmerged149	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged150	PTmerged150	PTmerged150	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged151	PTmerged151	PTmerged151	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged152	PTmerged152	PTmerged152	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged153	PTmerged153	PTmerged153	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged154	PTmerged154	PTmerged154	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged155	PTmerged155	PTmerged155	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged156	PTmerged156	PTmerged156	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged157	PTmerged157	PTmerged157	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged158	PTmerged158	PTmerged158	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged159	PTmerged159	PTmerged159	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged160	PTmerged160	PTmerged160	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged161	PTmerged161	PTmerged161	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged162	PTmerged162	PTmerged162	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged163	PTmerged163	PTmerged163	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged164	PTmerged164	PTmerged164	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged165	PTmerged165	PTmerged165	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged166	PTmerged166	PTmerged166	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged167	PTmerged167	PTmerged167	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged168	PTmerged168	PTmerged168	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged169	PTmerged169	PTmerged169	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged170	PTmerged170	PTmerged170	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged171	PTmerged171	PTmerged171	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged172	PTmerged172	PTmerged172	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged173	PTmerged173	PTmerged173	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged174	PTmerged174	PTmerged174	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged175	PTmerged175	PTmerged175	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged176	PTmerged176	PTmerged176	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged177	PTmerged177	PTmerged177	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged178	PTmerged178	PTmerged178	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged179	PTmerged179	PTmerged179	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged180	PTmerged180	PTmerged180	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged181	PTmerged181	PTmerged181	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged182	PTmerged182	PTmerged182	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged183	PTmerged183	PTmerged183	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged184	PTmerged184	PTmerged184	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged185	PTmerged185	PTmerged185	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged186	PTmerged186	PTmerged186	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged187	PTmerged187	PTmerged187	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged188	PTmerged188	PTmerged188	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged189	PTmerged189	PTmerged189	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged190	PTmerged190	PTmerged190	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged191	PTmerged191	PTmerged191	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged192	PTmerged192	PTmerged192	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged193	PTmerged193	PTmerged193	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged194	PTmerged194	PTmerged194	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged195	PTmerged195	PTmerged195	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged196	PTmerged196	PTmerged196	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged197	PTmerged197	PTmerged197	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged198	PTmerged198	PTmerged198	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged200	PTmerged200	PTmerged200	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged201	PTmerged201	PTmerged201	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged202	PTmerged202	PTmerged202	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged203	PTmerged203	PTmerged203	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged204	PTmerged204	PTmerged204	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged205	PTmerged205	PTmerged205	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged206	PTmerged206	PTmerged206	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged207	PTmerged207	PTmerged207	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged208	PTmerged208	PTmerged208	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged209	PTmerged209	PTmerged209	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged210	PTmerged210	PTmerged210	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged211	PTmerged211	PTmerged211	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged212	PTmerged212	PTmerged212	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged213	PTmerged213	PTmerged213	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged214	PTmerged214	PTmerged214	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged215	PTmerged215	PTmerged215	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged216	PTmerged216	PTmerged216	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged217	PTmerged217	PTmerged217	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged218	PTmerged218	PTmerged218	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged219	PTmerged219	PTmerged219	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged220	PTmerged220	PTmerged220	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged221	PTmerged221	PTmerged221	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged222	PTmerged222	PTmerged222	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged223	PTmerged223	PTmerged223	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged225	PTmerged225	PTmerged225	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged226	PTmerged226	PTmerged226	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged227	PTmerged227	PTmerged227	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged228	PTmerged228	PTmerged228	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged229	PTmerged229	PTmerged229	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged230	PTmerged230	PTmerged230	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged231	PTmerged231	PTmerged231	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged232	PTmerged232	PTmerged232	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged233	PTmerged233	PTmerged233	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged234	PTmerged234	PTmerged234	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged235	PTmerged235	PTmerged235	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged236	PTmerged236	PTmerged236	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged237	PTmerged237	PTmerged237	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged238	PTmerged238	PTmerged238	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged239	PTmerged239	PTmerged239	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged245	PTmerged245	PTmerged245	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged246	PTmerged246	PTmerged246	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged247	PTmerged247	PTmerged247	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged248	PTmerged248	PTmerged248	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged249	PTmerged249	PTmerged249	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged250	PTmerged250	PTmerged250	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged251	PTmerged251	PTmerged251	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged252	PTmerged252	PTmerged252	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged253	PTmerged253	PTmerged253	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged254	PTmerged254	PTmerged254	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged255	PTmerged255	PTmerged255	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged256	PTmerged256	PTmerged256	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged257	PTmerged257	PTmerged257	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged258	PTmerged258	PTmerged258	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged259	PTmerged259	PTmerged259	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged260	PTmerged260	PTmerged260	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged261	PTmerged261	PTmerged261	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged262	PTmerged262	PTmerged262	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged263	PTmerged263	PTmerged263	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged264	PTmerged264	PTmerged264	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged265	PTmerged265	PTmerged265	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged266	PTmerged266	PTmerged266	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged267	PTmerged267	PTmerged267	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged268	PTmerged268	PTmerged268	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged270	PTmerged270	PTmerged270	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged271	PTmerged271	PTmerged271	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged272	PTmerged272	PTmerged272	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged273	PTmerged273	PTmerged273	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged274	PTmerged274	PTmerged274	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged275	PTmerged275	PTmerged275	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged276	PTmerged276	PTmerged276	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged277	PTmerged277	PTmerged277	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged278	PTmerged278	PTmerged278	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged279	PTmerged279	PTmerged279	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged280	PTmerged280	PTmerged280	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged281	PTmerged281	PTmerged281	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged282	PTmerged282	PTmerged282	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged283	PTmerged283	PTmerged283	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged284	PTmerged284	PTmerged284	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged285	PTmerged285	PTmerged285	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged286	PTmerged286	PTmerged286	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
