piCid	piCnum	piCid_orth	mm10	cast	c3h	129	nod	AllStrains
PTmerged755	PTmerged755	PTmerged755	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged759	PTmerged759	PTmerged759	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged762	PTmerged762	PTmerged762	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
PTmerged813	PTmerged813	PTmerged813	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
PTmerged826	PTmerged826	PTmerged826	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
PTmerged831	PTmerged831	PTmerged831	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
PTmerged833	PTmerged833	PTmerged833	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
PTmerged860	PTmerged860	PTmerged860	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged861	PTmerged861	PTmerged861	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged886	PTmerged886	PTmerged886__v1	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
PTmerged886	PTmerged886	PTmerged886__v2	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
PTmerged886	PTmerged886	PTmerged886	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
PTmerged887	PTmerged887	PTmerged887__v1	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
PTmerged887	PTmerged887	PTmerged887__v2	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
PTmerged887	PTmerged887	PTmerged887	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
PTmerged894	PTmerged894	PTmerged894	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
PTmerged895	PTmerged895	PTmerged895	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
PTmerged896	PTmerged896	PTmerged896	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
